Kingdom,Phylum,Class,Order,Family,Genus,Species,S13
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unknown,Unknown,2.0481334265
No Hit,No Hit,No Hit,No Hit,No Hit,No Hit,No Hit,2.15122739092
Bacteria,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.84881842862
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Unknown,Unknown,5.87177401803
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,3.72111937136
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Unknown,Unknown,Unknown,0.360256131227
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Unknown,Unknown,0.303554450796
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Unknown,0.388893343566
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium sp,1.22509994387
Bacteria,Proteobacteria,Alphaproteobacteria,Unknown,Unknown,Unknown,Unknown,1.54411848933
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Arthrobacter,Unknown,0.0034364654807
Bacteria,Proteobacteria,Betaproteobacteria,Unknown,Unknown,Unknown,Unknown,3.64723536352
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,1.10310541931
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp,0.0435285627556
Bacteria,Gemmatimonadetes,Gemmatimonadetes (class),Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas sp,0.0526924707041
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Unknown,0.0108821406889
Bacteria,Actinobacteria,Actinobacteria (class),Solirubrobacterales,Unknown,Unknown,Unknown,0.0263462353521
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unknown,Unknown,2.31904145523
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp,0.0521197264573
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Segetibacter,Segetibacter sp,0.0183278158971
Bacteria,Proteobacteria,Unknown,Unknown,Unknown,Unknown,Unknown,1.35110367816
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Unknown,Unknown,0.208478905829
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unknown,Unknown,2.63118706973
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Unknown,Unknown,0.034364654807
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unknown,Unknown,3.95766274528
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter sp,0.0137458619228
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp,0.0103093964421
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Unknown,Unknown,0.22623397748
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptomycetaceae,Streptomyces,Unknown,0.00114548849357
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,1.56531002646
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Unknown,2.68158856344
Bacteria,Bacteroidetes,Unknown,Unknown,Unknown,Unknown,Unknown,2.30300461632
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unknown,11.4314024216
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unknown,Unknown,0.925554702803
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia sp,0.00572744246784
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Unknown,0.0652928441334
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia sp,0.0246280026117
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Unknown,Unknown,0.55384368664
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosovibrio,Nitrosovibrio sp,0.00171823274035
Bacteria,Actinobacteria,Actinobacteria (class),Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter sp,0.0183278158971
Bacteria,Acidobacteria,Unknown,Unknown,Unknown,Unknown,Unknown,0.021191537131
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Unknown,Unknown,0.112830616616
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,Chitinophaga sp,0.139176851969
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp,4.95137401345
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,Unknown,0.00630018671462
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unknown,2.583076553
Bacteria,Firmicutes,Bacilli,Bacillales,Unknown,Unknown,Unknown,0.00171823274035
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Unknown,Unknown,0.0154640946632
Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula,Pirellula sp,0.0383738645345
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Unknown,0.385456878086
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptomycetaceae,Unknown,Unknown,0
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown,0.00687293096141
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Unknown,Unknown,Unknown,0.0939300564726
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Unknown,0.191869322673
Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularcula sp,0.0469650282363
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Paracraurococcus,Paracraurococcus sp,0.00572744246784
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Unknown,0.0223370256246
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Unknown,Unknown,0.392329809047
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Unknown,Unknown,2.43244481609
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp,2.12316292283
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Frankiaceae,Frankia,Frankia sp,0.00801841945498
Bacteria,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,Unknown,0.70161170231
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Unknown,0.000572744246784
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unknown,Unknown,0.762895336716
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp,5.90785690558
Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Thermosporotrichaceae,Thermosporothrix,Thermosporothrix sp,0.00114548849357
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardioidaceae,Friedmanniella,Unknown,0.0126003734292
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Unknown,0.0824751715369
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Unknown,4.6655746343
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp,0.0246280026117
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nakamurellaceae,Unknown,Unknown,0.119703547578
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unknown,Unknown,1.59108351757
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia,Derxia sp,0.0509742379638
Bacteria,Actinobacteria,Actinobacteria (class),Solirubrobacterales,Patulibacteraceae,Patulibacter,Patulibacter sp,0.00859116370176
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Unknown,0.434140139062
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unknown,Unknown,0.00286372123392
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Unknown,Unknown,Unknown,0.000572744246784
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp,0.162659366087
Bacteria,Actinobacteria,Actinobacteria (class),Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Unknown,0.00171823274035
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Intrasporangiaceae,Unknown,Unknown,0.000572744246784
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Segetibacter,Unknown,0.000572744246784
Bacteria,Nitrospirae,Nitrospira (class),Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira sp,0.000572744246784
Bacteria,Verrucomicrobia,Unknown,Unknown,Unknown,Unknown,Unknown,0.0320736778199
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Cryptosporangiaceae,Cryptosporangium,Cryptosporangium minutisporangium,0.00171823274035
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Unknown,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Unknown,0.000572744246784
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus sp,0
Bacteria,Tenericutes,Mollicutes,Mollicutes (family),Mollicutes (family) (family),Mollicutes (genus),Mollicutes sp,0.0206187928842
Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Unknown,0
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micromonosporaceae,Unknown,Unknown,0.00515469822106
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Unknown,Unknown,0
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Unknown,Unknown,0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp,0.38832059932
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,Holophaga sp,0.00229097698714
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Unknown,0.103093964421
Bacteria,Firmicutes,Unknown,Unknown,Unknown,Unknown,Unknown,0
