Kingdom,Phylum,Class,Order,Family,Genus,Species,S49
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unknown,Unknown,0.690680608183
No Hit,No Hit,No Hit,No Hit,No Hit,No Hit,No Hit,5.53743584824
Bacteria,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.83946472253
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Unknown,Unknown,3.63566597918
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,1.49887284762
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Unknown,Unknown,Unknown,0.455657345676
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Unknown,Unknown,0.00239819655619
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Unknown,0.115113434697
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium sp,1.40294498537
Bacteria,Proteobacteria,Alphaproteobacteria,Unknown,Unknown,Unknown,Unknown,1.54443858219
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Arthrobacter,Unknown,0.0719458966857
Bacteria,Proteobacteria,Betaproteobacteria,Unknown,Unknown,Unknown,Unknown,3.76277039666
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,5.1345388268
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp,0.0839368794666
Bacteria,Gemmatimonadetes,Gemmatimonadetes (class),Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas sp,0.0239819655619
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Unknown,0.661902249508
Bacteria,Actinobacteria,Actinobacteria (class),Solirubrobacterales,Unknown,Unknown,Unknown,0.0479639311238
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unknown,Unknown,0.0959278622476
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp,0
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Segetibacter,Segetibacter sp,0
