Sample,Kingdom,Phylum,Class,Order,Family,Genus,Species,S12
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unknown,Unknown,3.67218216998
S12,No Hit,No Hit,No Hit,No Hit,No Hit,No Hit,No Hit,3.44770600508
S12,Bacteria,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8.25672912062
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Unknown,Unknown,1.68081692798
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,20.2531209761
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Unknown,Unknown,Unknown,7.81603971713
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Unknown,Unknown,0.269922259635
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Unknown,4.53634654713
S12,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium sp,1.65258526307
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Unknown,Unknown,Unknown,Unknown,4.5101806138
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Arthrobacter,Unknown,0.00344288596473
S12,Bacteria,Proteobacteria,Betaproteobacteria,Unknown,Unknown,Unknown,Unknown,1.45083214554
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.117746699994
S12,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp,0.404194812259
S12,Bacteria,Gemmatimonadetes,Gemmatimonadetes (class),Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas sp,0.247887789461
S12,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Unknown,0.0151486982448
S12,Bacteria,Actinobacteria,Actinobacteria (class),Solirubrobacterales,Unknown,Unknown,Unknown,0.850392833289
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unknown,Unknown,1.40332031922
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp,0.0819406859606
S12,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Segetibacter,Segetibacter sp,0.013082966666
S12,Bacteria,Proteobacteria,Unknown,Unknown,Unknown,Unknown,Unknown,1.56582453676
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Unknown,Unknown,0.479938303484
S12,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unknown,Unknown,0.530893015762
S12,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Unknown,Unknown,0.0151486982448
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unknown,Unknown,0.536401633305
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter sp,0.0247887789461
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp,6.68539596631
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Unknown,Unknown,0.938530713986
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptomycetaceae,Streptomyces,Unknown,1.45358645431
S12,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unknown,0
S12,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Unknown,0.00344288596473
S12,Bacteria,Bacteroidetes,Unknown,Unknown,Unknown,Unknown,Unknown,1.24357041046
S12,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unknown,0.0495775578921
S12,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unknown,Unknown,0.0984665385913
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia sp,0.126698203502
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Unknown,0.00482004035062
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia sp,0.00137715438589
S12,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Unknown,Unknown,0.000688577192946
S12,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosovibrio,Nitrosovibrio sp,0.0234116245602
S12,Bacteria,Actinobacteria,Actinobacteria (class),Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter sp,0.471675377168
S12,Bacteria,Acidobacteria,Unknown,Unknown,Unknown,Unknown,Unknown,0.792552349081
S12,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Unknown,Unknown,0.125321049116
S12,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,Chitinophaga sp,0.0571519070145
S12,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp,1.08657481047
S12,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,Unknown,0
S12,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unknown,0.0805635315747
S12,Bacteria,Firmicutes,Bacilli,Bacillales,Unknown,Unknown,Unknown,0.0371831684191
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Unknown,Unknown,0.000688577192946
S12,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula,Pirellula sp,0.106729464907
S12,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Unknown,0.605947929793
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptomycetaceae,Unknown,Unknown,0
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown,0.0268545105249
S12,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Unknown,Unknown,Unknown,1.56031591922
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Unknown,0.208638889463
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularcula sp,0.168701412272
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Paracraurococcus,Paracraurococcus sp,0.00757434912241
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Unknown,0.00275430877178
S12,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Unknown,Unknown,0.718874589436
S12,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Unknown,Unknown,0.0440689403486
S12,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp,0.00206573157884
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Frankiaceae,Frankia,Frankia sp,0.00413146315768
S12,Bacteria,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,Unknown,0.00137715438589
S12,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Unknown,0.0330517052614
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unknown,Unknown,0.612833701722
S12,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp,0.0137715438589
S12,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Thermosporotrichaceae,Thermosporothrix,Thermosporothrix sp,0.000688577192946
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardioidaceae,Friedmanniella,Unknown,0.0247887789461
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Unknown,1.94867345604
S12,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Unknown,0.000688577192946
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp,0.0192801614025
S12,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nakamurellaceae,Unknown,Unknown,0.0117058122801
S12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unknown,Unknown,0.0144601210519
S12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia,Derxia sp,0.129452512274
S12,Bacteria,Actinobacteria,Actinobacteria (class),Solirubrobacterales,Patulibacteraceae,Patulibacter,Patulibacter sp,0.0241002017531
S12,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Unknown,0.155618445606
