OTUId,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S1,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S2,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S3,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S4,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S5,S60,S61,S62,S6,S7,S8,S9,Sum
OTU_941,0,0,0,0.00110037,0,0.015693198,0.003125488,0,0.010154788,0,0.010580891,0,0,0,0,0,0,0,0,0,0,0,0.028478669,0,0.006248178,0,0.016143092,0,0.014641853,0.028738844,0.000794685,0,0,0,0,0,0,0,0,0,0,0,0,0.001977105,0,0,0,0,0.008131514,0,0,0,0,0,0.011698757,0,0,0,0.015685423,0,0,0,0.173192855
OTU_5717,0.000852036,0.034623184,0,0,0,0.00196165,0,0,0,0.001220539,0,0,0,0,0,0,0.001511008,0,0,0,0,0,0.001627353,0,0.009372266,0,0.038743422,0,0.002311871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008896973,0,0.003030028,0.017033454,0,0.046530328,0,0,0,0,0,0,0,0,0,0.005429569,0,0,0,0.173143681
OTU_4500,0.002556107,0,0,0,0,0.019616497,0,0,0.001450684,0,0,0,0,0,0,0.008877939,0.004533023,0,0,0.00113577,0,0.002786136,0,0,0.010413629,0.052235366,0.018295505,0,0,0,0,0.005239223,0,0,0,0,0,0,0,0,0.002804656,0,0,0,0.007197869,0,0.006813381,0.00136598,0,0,0,0.001960912,0,0,0.010723861,0,0,0,0.008445997,0,0.006651258,0,0.173103795
OTU_2417,0,0,0,0,0,0,0,0.001897065,0,0,0,0,0,0,0,0,0,0.006836018,0,0,0,0.030647498,0,0,0,0,0,0,0,0,0,0,0.017205485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116397014,0,0.17298308
OTU_4358,0.005112213,0.013189785,0.00133061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462442,0,0,0.008358409,0,0,0,0,0,0,0.008476862,0,0,0,0,0.088973494,0,0,0,0,0,0.001424461,0,0,0,0.000988553,0.014395739,0,0.001703345,0.002731961,0.014004274,0,0,0,0,0,0.005849379,0,0,0,0.001809856,0,0,0,0.172973359
OTU_7580,0.000852036,0.004946169,0,0,0,0.013731548,0.013543783,0.00379413,0.001450684,0.001220539,0,0.024708722,0,0.008075308,0,0.005548712,0,0.006836018,0,0,0,0,0,0,0,0,0,0.003538821,0,0,0,0,0,0,0,0.062745463,0.010290536,0.00241914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000653637,0,0,0.007799171,0,0,0,0.000603285,0,0,0,0.172757704
OTU_4225,0.009372391,0,0,0,0,0,0.004167318,0,0,0,0,0,0,0.009228923,0.001513752,0.008877939,0.048352246,0.012304832,0.0231221,0,0,0,0,0.003625389,0,0,0,0,0,0,0.000794685,0,0.005161646,0,0,0.002323906,0,0.00362871,0.001771856,0,0,0,0,0.008896973,0,0,0,0,0,0,0,0.001307275,0,0,0.007799171,0,0,0,0.015082137,0,0,0.005422993,0.172754243
OTU_3021,0,0,0,0,0,0,0,0,0,0,0,0.015205367,0,0,0,0,0,0,0,0,0,0.002786136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079012805,0.037731966,0.022981832,0,0.001424461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013302516,0,0.172445083
OTU_6552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001109742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171269891,0,0.172379634
OTU_4989,0,0.013189785,0,0,0,0,0,0,0,0,0,0.001900671,0,0,0.003027505,0,0,0,0,0.00227154,0.001377562,0,0,0,0,0,0,0,0,0,0.000794685,0,0,0,0,0.002323906,0.003430179,0.00120957,0.001771856,0,0,0,0,0,0.001439574,0,0.011923418,0.000341495,0,0,0,0,0.048257003,0,0,0.025223617,0.052165719,0.001637787,0,0,0,0,0.172285871
