OTUId,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S1,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S2,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S3,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S4,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S5,S60,S61,S62,S6,S7,S8,S9,Sum
OTU_1179,0.0068162841027214,0.00494616919196083,0.00332652504540707,0,0,0.00686577411603158,0,0,0,0.00244107846846737,0.0302311168886134,0,0,0.00692169258456001,0.00151375244092581,0.0233045910044279,0,0.00273440704383254,0.00616589336087432,0.0283942484610317,0.00551024906325766,0.00278613618633679,0.00569573389531241,0.000906347149085043,0.00624817761486233,0,0.00645723694830982,0,0,0,0.000794685145745256,0,0.0120438395760568,0,0,0,0,0,0,0,0.0112186229140373,0,0,0.0336107870855493,0,0,0,0,0.023491039523674,0,0,0.0104581998823453,0,0.0338376758350655,0,0,0,0,0.00603285492793755,0,0,0,0.282753118456429
OTU_4218,0.000852035512840175,0,0.000665305009081413,0,0.00696262463098089,0,0.00104182945251862,0,0,0,0,0,0,0.00576807715380001,0.00302750488185162,0.0266338182907747,0.00151100769102915,0.0191408493068278,0.018497680082623,0,0,0.0334336342360415,0,0,0,0,0,0,0,0,0,0,0.0344109702173053,0,0,0,0,0.00120957011877979,0,0,0,0.00131900019785003,0,0.000988552561339687,0,0,0,0,0,0,0,0,0,0,0.00779917133804533,0,0,0,0.0162887083054314,0,0,0.103036876355748,0.28258721534286800
OTU_585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221948485756456,0,0,0,0,0,0,0,0,0.00208272587162078,0,0,0,0,0,0,0,0,0.0703511349293385,0,0.0209151541911645,0.00686035742462182,0,0,0,0,0,0,0,0.0590225293313179,0,0,0.116791312365536,0,0,0,0,0,0,0.00194979283451133,0,0,0,0.000603285492793755,0,0.00166281447978849,0,0.282458591778258
OTU_7377,0.00255610653852053,0,0,0,0,0,0,0.0113823914404416,0,0,0,0,0,0,0,0,0,0.00273440704383254,0,0,0,0,0,0.0453173574542521,0,0.00614533722538024,0,0,0,0,0,0,0,0,0,0,0.00343017871231091,0,0.20553527764981,0.00142446084157147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000603285492793755,0,0.00332562895957698,0,0.28245443135849
OTU_1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28218220908358,0,0,0,0,0,0,0,0,0,0,0,0,0.28218220908358
OTU_535,0,0,0,0,0,0.014712373105782,0,0.00569119572022082,0.136364295765453,0.0561448047747495,0.0136040025998761,0,0,0,0,0.00221948485756456,0.010577053837204,0.00136720352191627,0.0215806267630601,0.00113576993844127,0,0,0,0,0.00208272587162078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014623446258835,0,0,0,0.00180985647838126,0,0,0,0.281912839493105
OTU_1023,0.0230049588466847,0.00494616919196083,0,0,0,0,0.00104182945251862,0,0,0.120833384189135,0,0,0,0,0,0,0,0,0.00308294668043716,0,0,0,0,0,0,0,0,0,0.00154124763996455,0,0,0.00314353375107404,0,0,0,0,0,0,0,0,0,0,0,0.0879811779592321,0,0,0,0,0.0194252826830381,0,0,0,0,0,0,0,0,0,0.0168919937982251,0,0,0,0.28189252419227
OTU_1006,0,0.028028292087778,0,0,0,0,0.0312548835755587,0,0.00145068399750482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813676270758916,0.0108761657890205,0.0135377181655351,0.0122906744507605,0.00860964926441309,0,0.0246599622394328,0.0926029409416761,0.00317874058298102,0.00104784458369135,0,0,0,0,0,0,0,0.00142446084157147,0,0,0,0,0,0,0,0,0.0447233252469947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281822104474507
OTU_1642,0,0,0,0,0,0,0,0,0.00290136799500965,0.019528627747739,0,0,0,0,0,0.0055487121439114,0.00453302307308744,0.00136720352191627,0,0,0.000688781132907207,0,0,0,0.00104136293581039,0,0,0,0.205756559935268,0.00638640972011559,0.00476811087447153,0,0,0,0,0,0,0,0,0,0.00280465572850933,0,0,0,0,0.00606005514650183,0,0,0.00180700304028262,0,0,0,0,0,0.0185230319278577,0,0,0,0,0,0,0,0.281714904923388
OTU_5388,0.00255610653852053,0.00164872306398694,0,0,0,0,0,0.00758826096029442,0.0101547879825338,0.00244107846846737,0,0.00570201281052211,0,0,0,0.00221948485756456,0,0.00273440704383254,0.0323709401445902,0,0.0089541547277937,0.0167168171180207,0.0130188203321427,0.00362538859634017,0.00416545174324155,0.00921800583807036,0,0.0141552834595513,0.000770623819982276,0.0015966024300289,0,0,0,0.072420285956672,0,0.0069717180637215,0.00343017871231091,0.00725742071267871,0.00354371168361742,0,0.00280465572850933,0,0,0.00395421024535875,0.00287914777225941,0,0,0.0119523272888707,0.00542100912084785,0,0,0,0,0,0.002924689251767,0,0,0,0,0,0.0182909592776734,0,0.281487263749771
OTU_2720,0,0.0741925378794124,0,0,0,0.00686577411603158,0.0218784185028911,0.00948532620036803,0.0174082079700579,0.00854377463963579,0,0,0,0.00922892344608001,0,0,0,0.00820322113149763,0,0,0,0,0.00976411524910699,0.0126888600871906,0.00624817761486233,0.00921800583807036,0.011838267738568,0,0.00693561437984048,0.0015966024300289,0.00317874058298102,0,0,0.0103457551366674,0,0.004647812042481,0.0137207148492436,0.00362871035633936,0,0.0042733825247144,0.00280465572850933,0,0,0,0,0.00909008271975275,0,0,0,0,0,0.00130727498529316,0,0,0.0136485498415793,0,0,0,0.000603285492793755,0,0,0,0.281344791483997
OTU_691,0,0,0,0.239880719862234,0.00974767448337325,0,0,0,0,0,0.00755777922215336,0,0,0.00230723086152,0,0,0,0,0,0,0,0.0111445447453472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00686035742462182,0,0,0,0,0.00131900019785003,0,0,0,0,0,0,0,0.00223954134193317,0,0,0,0,0,0,0,0,0,0,0,0,0.28105684813903300
