Kingdom,Phylum,Class,Order,Family,Genus,Species,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S3,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S4,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S5,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S6,S60,S61,S62,S7,S8,S9
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Unknown,Unknown,Unknown,0.0021264380037,0.258046848669,0.0780937505952,0.0309859736826,0.563007594589,0.0605304258801,0.154859743259,0.00259097563187,0,0,0.0272557543711,0,0,0,0,0,0,0.00389704019797,0,0,0,0.00145507457257,0.0104465917994,0.0189703610692,0.00101402395125,0.0341709599411,0,0,0.0148826133869,0.139345461264,0.0284262516434,0.00183049606443,0.000991502820826,0.00115004657689,0.0489805914406,0.00519764027132,0.072457709779,0.0667268516701,0.121635610766,0.00595214475616,0,0.00498280930789,0.690816899491,0.0959278622476,0.073721286729,0.0652206886091,0.00359854618734,0.102649066254,0.0665196979323,0.0133082782814,0.826896865061,0,0.116248655875,0.0629609642022,0.0314712824548,0.00930858681331,0.101991425806,0.178795786218,0.0976153953424,0,0.0603977923566,0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Unknown,0.136092032237,0.143242332322,0.0323803356127,1.14716960345,0.150058992657,0.0971475970916,0.0733546152279,0.0129548781594,0,0.00334884967014,0.0327069052454,0.0106333959522,0,0,0,0,0.00841668186345,0.0311763215838,0.00736133092863,0.0369201852722,0.00397530013516,0,0.169757116741,0.00993685579816,0,0.00394280307013,0,0.0224476968663,0,0.000769864426874,0,0,0,0.0310512575759,0,0,0.0083605049745,0,0,0.00198404825205,0,0.00996561861578,0.0170151945687,0.323756535086,0.00702107492657,0,0.00359854618734,0,0,0.0298105433504,0.0242314099652,0,0.0203435147781,0.00899442345746,0.0629425649095,0.00930858681331,0.00518600470198,0.0612093682549,0,0.800067021321,0.0166614599604,0.681133074073
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum sp,0.0170115040296,0.0642483990563,0.0666653968496,0.0172144298237,0.00687293096141,0.17262380714,0.120899273246,0.020727805055,0.0304383116883,0.0418606208767,0.024530178934,0.124056286109,0.326364350216,0.0286103771521,0.0316130561922,0.0188202819906,0.0659306745971,0.0370218818807,0.0607309801612,0.0251728535947,0.0172263005857,0.00873044743543,0.036563071298,0.0108402063253,0.00912621556121,0.030228156871,0.0294920002949,0.00112238484332,0.0706924135878,0.0585096964425,0,0.0274574409665,0,0,0.108165472765,0.00519764027132,0.130981244601,0.259057188837,0.1966873706,0.0257926272767,0.0980488283165,0,0,0,0.0374457329417,0.233581070833,0.0251898233114,0.0612292675899,0.0788855392146,0,0.0212024837195,0,0.0428666918539,0.152905198777,0.00524521374246,0.00286418055794,0.261028903333,0.576656679875,0.300593439626,0,0.0166614599604,0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Pontibacter,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357319085944,0,0,0,0,0,0,0,0,4.05121692025,0.00217966229765,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Unknown,Unknown,3.28322027771,0.00421300977418,0,0.000688577192946,0,0,0,0,0,0,0,0.0248112572218,0.017177071064,0,0.0223925814695,0.18506610624,0.0336667274538,0,0.00552099819647,0.0134255219172,0,0.00145507457257,0.112300861844,0.00180670105421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702107492657,0,0,0,0,0,0,0,0.00290621639687,0,0.131130343562,0,0,0,0,0,0.00416536499011,0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp,0.0063793140111,0.00526626221773,0.00380945124855,0.408326275417,0.0544107034445,0.137501214345,0,0.00518195126375,0.00608766233766,0.0686514182378,0.095395140299,0.0567114450785,0.00245386729486,0,0.0579572696857,0,0.0434861896278,0.00389704019797,0.0165629945894,0.199704638518,0.0119259004055,0.00436522371772,0.104465917994,0.00813015474395,0.00304207185374,0.0091998738303,0.0147460001475,0.017958157493,0.00372065334673,0.100082375494,0,0.0100677283544,0.00198300564165,0.0115004657689,0,0,0.022294679932,0,0.00776397515528,0,0.00490244141583,0.0124570232697,0.00170151945687,0.330951124754,0.0187228664709,0.00303352040042,0,0.0054025824344,0.0554330816103,0.241678333591,0.0181735574739,0,0.0123514196867,0.00224860586436,0.00524521374246,0.0050123159764,0.133107454017,1.02445153184,0.0185934086366,0,0.0416536499011,0.347469912787
Bacteria,Cyanobacteria,Cyanobacteria (class),Oscillatoriales,Oscillatoriales (family),Unknown,Unknown,0,0,0,0,0.0412375857685,0.00224186762519,0,0,0,0,0,0.0248112572218,0,0,0,0,0.00981946217403,0,0.00920166366079,0,0,0,0,0.000903350527105,0,0,0,0,0,0,0,0.000915248032217,0,0,0,0,0,0,0,0,0.00122561035396,0,0,0,0,0,0,0.00180086081147,2.09792893479,0,1.49931849159,0,0,0,0,0,0,0,0,0,0.00624804748516,0
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp,0.021264380037,0.145348837209,0.0704748480981,0.34360001928,0.00859116370176,0.0216713870435,0.00543367520206,0.0194323172391,0.0142045454545,0.0267907973611,0.0218046034969,0.0319001878567,0.0760698861406,0.0757333512849,0.0289786348429,0.0109784978278,0.196389243481,0.175366808909,0.0331259891788,0.119151507015,0.11263350383,0.00873044743543,0.407417080178,0.00993685579816,0.0192664550737,0.0131426769004,0.0995355009954,0.0437730088893,0,0.00461918656125,0,0.0384404173531,0.00694051974578,0.0414016767679,0.00204085797669,0,0.0139341749575,0.0196255446089,0.0142339544513,0.0178564342685,0.00245122070791,0.0199312372316,0,0.0863350760228,0.108826661362,0,0.00359854618734,0.030614633795,0.0132186579225,0.108595550776,0.00605785249129,0,0.371269144701,0,0.0419617099397,0.168270607779,0,0,0,0,0.00624804748516,0.365878914789
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Unknown,Unknown,0.0382758840666,0.0968992248062,0.0742842993467,0.146666942098,0.000572744246784,0.00149457841679,0.00271683760103,0.0777292689562,0,0.0150698235156,0.0572370841794,0.0425335838089,0.0907930899097,0.0673185344755,0.0461023736136,0.00784178416273,0.119236326399,0.0389704019797,0.0552099819647,0.0251728535947,0.0145761004956,0.00218261185886,0.0600679028467,0.000903350527105,0.0375188861961,0.0289138891809,0.0884760008848,0.0123462332765,0,0.0177068818181,0,0.012813472451,0.00892352538743,0.0241509781146,0,0,0.0250815149235,0.00785021784355,0.0129399585921,0.0198404825205,0,0,0.00510455837062,0,0.0257439413974,0,0,0,0.00639612480119,0.000532331131257,0,0.00777584821544,0.0871864919062,0.353031120705,0.068187778652,0.119579538294,0.00691467293597,0.00805386424406,0.0309890143944,1.37812591631,0.0291575549308,0.149573141266
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,Steroidobacter sp,0.0085057520148,0.081100438153,0,0.68237999821,0.00687293096141,0.0642668719221,0.0203762820077,0.00259097563187,0,0,0,0.0354446531741,0.017177071064,0,0.0052688426987,0.00941014099528,0.14729193261,0.251359092769,0.0202436600537,0.0167819023965,0.0291522009912,0.00145507457257,0.321232697832,0.0135502579066,0.00608414370747,0.00657133845022,0,0.0123462332765,0,0,0,0.00915248032217,0,0.0310512575759,0,0,0.0306551849065,0.0628017427484,0.0142339544513,0,0,0,0.0442395058787,0.00479639311238,0.00351053746329,0.0197178826028,0.00359854618734,0,0.00554330816103,0,0,0,0.114795547676,0,0,0.0279257604399,0,0,0,0,0.0166614599604,1.49803253791
