Sample,#OTU ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,S46
S46,3671,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,661,Bacteria , Proteobacteria , Alphaproteobacteria , Rhodospirillales , Acetobacteraceae , Gluconacetobacter , Gluconacetobacter sp,0
S46,1873,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,5011,Bacteria , Proteobacteria , Alphaproteobacteria , Rhodospirillales , Acetobacteraceae , Oleomonas , Oleomonas sp,0
S46,7648,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,9338,Bacteria , Proteobacteria , Betaproteobacteria , Rhodocyclales , Rhodocyclaceae , Ferribacterium , Ferribacterium sp,0
S46,6166,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Oxalobacteraceae , Janthinobacterium , Janthinobacterium sp,0
S46,13621,Bacteria , Gemmatimonadetes , Gemmatimonadetes (class) , Gemmatimonadales , Gemmatimonadaceae , Gemmatimonas , Gemmatimonas sp,0
S46,6675,Bacteria , Proteobacteria , Betaproteobacteria , Nitrosomonadales , Nitrosomonadaceae , Nitrosovibrio , Nitrosovibrio sp,0
S46,4542,Bacteria , Proteobacteria , Alphaproteobacteria , Rhizobiales , Rhizobiaceae , Rhizobium , Rhizobium sp,0
S46,11924,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,9366,Bacteria , Actinobacteria , Actinobacteria (class) , Actinomycetales , Nocardioidaceae , Nocardioides , Nocardioides sp,0
S46,4990,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,8458,Bacteria , Proteobacteria , Alphaproteobacteria , Rhizobiales , Rhizobiaceae , Rhizobium , Rhizobium sp,0
S46,9578,Bacteria , Bacteroidetes , Cytophagia , Cytophagales , Cyclobacteriaceae , Aquiflexum , Aquiflexum sp,0
S46,11393,Bacteria , Proteobacteria , Alphaproteobacteria , Rhodobacterales , Rhodobacteraceae , Rubellimicrobium , Rubellimicrobium sp,0
S46,13771,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,12735,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Oxalobacteraceae , Naxibacter , Naxibacter sp,0
S46,6352,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,4782,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,8882,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,10011,Bacteria , Bacteroidetes , Cytophagia , Cytophagales , Cytophagaceae , Flexibacter , Flexibacter sp,0
S46,4532,Bacteria , Actinobacteria , Actinobacteria (class) , Actinomycetales , Microbacteriaceae , Leucobacter , Leucobacter sp,0
