Kingdom	Phylum	Class	Order	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Acidobacteria	Acidobacteria (class)	Acidobacteria (order)	0.0744253301295	0.00737276710482	0.0533323174797	0	0	0	0.0271683760103	0.143799147569	0	0	0.00272557543711	0.00354446531741	0.00245386729486	0	0.105376853974	0	0.0210417046586	0	0.0423276528396	0.00335638047929	0	0.00291014914514	0.101854270044	0.051490980045	0.0344768143424	0.0367994953212	0	0.127951872138	0	0.16013180079	0.00177664072771	0.00183049606443	0.016855547954	0.0586523754212	0	0	0	0	0	0.0119042895123	0.0232865967252	0.0597937116947	0.00850759728437	0	0.177867231473	0	0.111554931808	0.00180086081147	0	1.2994202914	0.0212024837195	0	0.0108983114883	0	0	0.00429627083691	0	0	0	0	0.0145787774654	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	5.29483062921	10.9064290529	7.76937582141	8.9225832662	1.6747041776	5.23027716957	5.71758473137	17.9282558848	0.905032467532	3.71554870902	8.37841889369	2.69733810655	6.09786022772	0.875140948182	4.50090887537	0.726149213469	10.8294639976	11.5956431091	7.21042364459	5.90555145331	9.07826040866	4.16078574027	3.48132671716	16.2350156731	9.0349534056	11.5103564294	7.69741207697	12.1116548442	5.08241247163	15.9954731972	16.2260597662	12.386966868	19.2093756507	10.1963129507	1.65105410314	6.07344265703	7.52724131204	2.32366448169	2.7316252588	6.4223641919	0.804000392195	3.24630026409	1.77808783243	3.29752026476	9.76982576032	6.33399059609	5.75407535356	7.20164238506	6.78159792254	26.4829414489	4.13448432531	0.018143645836	9.00418495161	0.00449721172873	2.10333071073	13.0434782609	0	0.00322154569763	0.010846155038	0.0167553302894	9.41164219515	4.70350001151
Bacteria	Acidobacteria	Holophagae	Holophagales	1.41408127246	1.74734580384	1.28188034514	0.81802970522	0.0183278158971	0.315356045943	0.573252733818	0.664585249576	0.0162337662338	0.0368373463715	0.0449719947124	0.184312196505	0.517765999215	0.358471196082	0.359598514186	0.175655965245	1.02683518734	0.898267765632	0.57970481063	0.23494663355	3.6294490234	1.17570025464	0.253329851136	1.51762888554	1.82524311224	0.947587004521	1.34925901349	3.59948819251	0.457640361648	0.224800412647	0.00888320363856	1.93117334798	2.79901246319	3.36043609766	0.0489805914406	1.03173159386	0.125407574618	0.0785021784355	0.0504658385093	0.0833300265862	0.0306402588489	0.433504409786	0.0867774923006	0.0815386829105	0.757105912915	0.539966631276	1.94681348735	0.754560680005	0.826379324313	1.57516781739	0.517946388005	0	2.55674387515	0	0.178337267244	1.75645872716	0	0	0	0.00418883257236	0.0624804748516	0.0897438847596
Bacteria	Acidobacteria	Solibacteres	Solibacterales	0.153103536266	0.135869565217	0.428563265462	0.0227230473672	0.00572744246784	0.0209240978351	0.107315085241	0.220232928709	0.0466720779221	0.3533036402	0.155357799916	0.0708893063481	0.0539850804868	0.0201955603427	0.147527595564	0.0109784978278	0.0519028714913	0.0292278014848	0.138024954912	0.0839095119823	0.245143508335	0.213168424882	0.0705144946461	0.396570881399	0.384315077522	0.370623488592	0.313352503134	0.424261470773	0.230680507497	0.124718037154	1.04288810717	0.463115504302	0.126912361066	0.180557312571	0.0489805914406	0.109150445698	0.0640972048045	0.0314008713742	0.0155279503106	0.0178564342685	0.00490244141583	0.0124570232697	0.0068060778275	0	0.278502638754	0.230547550432	0.349058980172	0.185488663581	0.229407676203	0.150649710146	0.0333181887021	0	0.110436223081	0	0.115394702334	0.0687403333906	0	0	0	0	0.0520670623763	0
Bacteria	Actinobacteria	Actinobacteria (class)	Acidimicrobiales	0.0170115040296	0.0631951466127	0.0533323174797	0.00275430877178	0.00744567520819	0.0104620489176	0.0475446580181	0.0259097563187	0.0243506493506	0.0385117712066	0.00817672631134	0.0106333959522	0.0147232037691	0.0555377909423	0.0474195842883	0.00313671366509	0.0673334549076	0.00194852009898	0.0883359711436	0.0318856145533	0.0450534015318	0.0574754456166	0.00261164794986	0.0415541242468	0.0405609580498	0.0486279045316	0.0479245004792	0.0538744724791	0.0446478401607	0.000769864426874	0	0.0219659527732	0.0257790733415	0.0264510712684	0.00816343190677	0.0363834818992	0.078031379762	0.0392510892177	0.0116459627329	0.117058846871	0	0.0124570232697	0.0068060778275	0.0263801621181	0.128719706987	0.00910056120127	0.111554931808	0.0918439013849	0.236656617644	0.0154376028064	0.0212024837195	0.165884761929	0.0414135836554	0	0.00524521374246	0.0329380764163	0	0	0	0	0.00208268249505	0.0621303817567
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	4.06362302507	7.76457701382	8.56936058361	19.3352475779	1.02177573626	1.97807453463	10.4625416016	4.9992874817	5.43831168831	17.5044372258	17.6235707764	6.19218090951	12.9564193168	5.42587387873	8.85429015517	15.5549630652	11.0230476805	13.700044816	15.3373329898	15.2430019467	4.36620464845	9.16114950891	5.29381039436	10.4761560628	9.91005607552	9.93586373673	9.67706259677	8.00260393284	7.35945231983	6.26361697705	11.3882670646	9.176276771	35.4729964207	4.73589180362	33.0292454948	24.5848384833	17.7437783909	10.1817325431	5.70910973085	30.9690091663	4.04573977841	4.71622900992	1.77808783243	0.925703870689	8.31646325052	12.3115425451	10.219871172	6.69740135785	2.24845107178	3.61133439445	1.16916553082	57.0825017496	3.45621784998	25.7105594531	23.0474691844	6.86472475225	26.2965011755	45.3803034696	21.5637056663	35.6930423491	9.6823909195	9.94086108107
Bacteria	Actinobacteria	Actinobacteria (class)	Rubrobacterales	0	0.0252780586451	0.0514275918554	0.0179030070166	0.0034364654807	0	0.00679209400258	0.108820976539	0.00405844155844	0.00837212417535	0.00817672631134	0.131145216744	0.154593639576	0.87345798482	0.0210753707948	0.128605260269	0.138875250747	0.0818378441574	0.126982958519	0.0503457071894	0.198765006758	0.246635140051	0.0783494384957	0.000903350527105	0.0436030299036	0.00394280307013	0.110595001106	0	0.0372065334673	0.000769864426874	0	0.0622368661907	0	0.0080503260382	0	0	0.0250815149235	0.0196255446089	0.0271739130435	0.0773778818301	0.00245122070791	0	0	0	0.0234035830886	0	0	0	0.00639612480119	0	0	0	0.00290621639687	0	0	0.0214813541846	0	0	0	0	0.326981151723	0.18639114527
Bacteria	Actinobacteria	Actinobacteria (class)	Solirubrobacterales	1.45661003253	3.03652679474	2.27424239538	1.68632554553	0.0630018671462	0.627722935053	3.14202268559	2.40312989856	0.359172077922	1.0649341951	3.18347211055	1.00308368483	3.45504515116	1.56852185328	2.73452936063	1.35976537382	3.90814594526	3.52682137916	3.7597997718	2.41827213533	2.04860466965	2.12004365224	1.00548446069	1.50859538027	6.57391727593	1.293239407	3.67544053675	2.02141510281	0.595304535476	0.436513130038	4.27815087233	2.84184514003	1.77677305492	3.19827953032	0.22857609339	4.61030692066	1.57177493521	0.745770695137	0.618530020704	5.8469901988	0.234091577606	2.44905077483	0.188868659713	0.292579979855	1.91909381326	1.09813438495	4.03037172982	0.534855661006	2.4953414891	1.22862025094	0.051491746176	0.00259194940515	0.587782266268	0.00674581759309	2.43902439024	4.42444291688	0	0	0.00464835215916	0.140325891174	1.62449234614	2.86029868606
Bacteria	Actinobacteria	Actinobacteria (class)	Thermoleophilales	0.0191379420333	0.0979524772497	0.0342850612369	0.0227230473672	0	0.00149457841679	0.0230931196088	0.00777292689562	0	0.00167442483507	0.0735905368021	0.0141778612696	0.0809776207303	0.0117807435332	0.0197581601201	0.0188202819906	0.056111212423	0.116911205939	0.0993779675365	0.0570584681479	0.0384279013065	0.0734812659149	0.0156698876991	0	0.061855461026	0	0.00368650003687	0	0.0111619600402	0	0	0.0283726889987	0.000991502820826	0.029901210999	0	0.135138647054	0	0	0	0.210309114718	0	0.00498280930789	0	0	0.0210632247797	0.0151676020021	0.010795638562	0	0.0724894144135	0	0	0	0	0	0.068187778652	0.0887895972962	0	0	0	0	0.0145787774654	0.0115056262512
Bacteria	Bacteroidetes	Bacteroidetes (class)	Bacteroidetes (order)	0	0.00210650488709	0	0	0	0	0	0.0440465857419	0	0	0	0	0.00245386729486	0	0	0.00156835683255	0.00841668186345	0	0	0	0	0	0	0	0	0	0	0.0101014635898	0	0	0	0	0.000991502820826	0.00115004657689	0	0	0	0	0	0	0.00122561035396	0	0	0	0	0	0	0	0	0.0425864905006	0	0	0	0	0	0	0	0	0	0	0	0
