Kingdom	Phylum	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Acidobacteria	3.60218597827	5.67808392315	5.38656406545	2.62347910513	1.29955669595	4.0136903383	3.9557155471	15.4707154979	0.54788961039	1.69116908342	8.12494037804	2.08769007195	3.82312524539	0.902068361972	3.29039226534	0.555198318721	7.38704111549	8.57933399583	5.58909050756	3.17681412365	6.94219913603	3.08621316842	1.20658135283	12.0344357221	5.13501728911	8.01834717695	5.36754405368	9.78046152465	2.92443353053	14.6720762474	12.8380058984	9.8663737873	10.856955888	9.85129897761	1.37145656034	4.29325086411	3.62288548895	1.20108333006	1.49327122153	6.04341097575	0.515981959016	2.96477153819	1.262527437	1.49407645451	6.94735363984	2.96981647202	3.71010111915	5.65830466963	3.84193896391	20.0103272239	2.41102529153	0.0155516964309	6.25345113197	0.00449721172873	1.13296616837	10.4206049149	0	0.00322154569763	0.00309890143944	0.0167553302894	2.25971050713	3.03518420508
Bacteria	Actinobacteria	5.43304909945	10.3640040445	10.9102683758	20.9286152024	0.967365032818	2.40926040787	13.5380017659	7.42444067314	5.67775974026	18.3182076957	20.8152196132	7.19880905965	16.1170003926	7.93012336121	11.5782818304	16.7108420508	14.9339991864	17.0943668284	19.1725864036	17.5253406726	6.48901492063	11.4019643507	6.3071297989	11.9802346905	16.577263555	11.1581326885	13.3635626336	9.96341025411	7.92871228188	6.66163688574	15.6504281704	11.959546037	37.2091178599	7.81916667625	33.0945529501	29.0288209153	17.4093581919	9.82847274012	5.74145962733	36.5064878378	4.25899598	7.14783995217	1.96355345323	1.22308024366	10.2109833015	13.4111936903	14.271834179	7.25386734859	4.92117842203	4.76915460493	1.21157049826	56.605583059	3.87907233573	25.6003777658	25.4655127196	11.1774646274	26.1685797262	44.9888856673	21.5296177505	35.831273824	11.4776632302	12.7643417631
Bacteria	Bacteroidetes	1.80321942714	7.41489720256	4.62276909011	8.74286461884	14.4314367862	4.0674951613	3.27786456565	6.88163127826	3.88798701299	9.18756907002	5.18404448139	2.80721653139	6.64507263447	2.01114121746	3.52749018678	0.221138313389	5.06123136056	4.57902223261	2.18447495307	4.53950459824	1.33305064532	1.07457257184	6.406372421	2.52667142431	1.65083099263	3.66812112291	1.98702351987	4.17863877166	2.83141719686	7.01885397981	1.97562448922	0.586673988651	0.641502325074	4.14131772337	3.63272719851	0.265079653837	7.26806565783	5.27534639086	5.32867494824	1.1586841792	5.18923423865	0.630325377448	12.3785540488	5.8515995971	5.24357279099	2.1598665251	2.14833207384	10.3963694646	5.11519420767	4.36458294518	9.61684082993	7.57886006065	7.8031910256	6.28935060263	12.2475740886	3.91748295813	23.0829069285	10.8984890951	7.89290196625	3.43903154191	3.26981151723	4.58844374899
Bacteria	Chlamydiae	0	0	0	0	0.000572744246784	0.0179349410015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00259882013566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Chloroflexi	0.0893103961554	0.344413549039	0.184758385555	0.358060140332	0.0950755449662	0.584380160966	0.153501324458	0.161935976992	0.00405844155844	0.0468838953819	0.0272557543711	0.354446531741	0.441696113074	0.621013480537	0.306910087199	0.127036903436	0.401195168825	0.483232984548	0.463763848504	0.303752433376	1.04682903559	5.65732993816	0.19065030034	1.22765336634	0.749363699971	0.218168436547	0.213817002138	1.03820598007	0.535774081929	0.0284849837944	0.0213196887325	0.301116602599	0.0664306889953	0.144905868688	0.00204085797669	0.296265495465	0.37064905387	0.294383169133	0.150103519669	0.0853140748383	0.055152465928	0.0124570232697	0.966463051505	0.731449949638	0.454029511918	0.0849385712119	2.42542013027	0.198094689261	0.158197486749	2.15647341272	1.10252915342	0.235867395868	0.253567380627	0	0.157356412274	0.23701094117	0	0	0	0	0.620639383526	0.204800147272
Bacteria	Cyanobacteria	0.0021264380037	0	0	0	2.81274699596	0.094158440258	0	0	0	0.00167442483507	0	0.0248112572218	0	0	0	0	0.0280556062115	0.0194852009898	0.0386469873753	0.00167819023965	0	0.000727537286286	0.284669626534	0.00180670105421	0	0.00131426769004	0.0221190002212	0	0	0	0	0.000915248032217	0	0	0	0	0	0	0	0	0.00122561035396	0	0.00170151945687	0.175068348602	0.00234035830886	0	0.010795638562	0.00180086081147	4.95912876252	0.00798496696885	5.41572012721	0	0	0	0	0.00214813541846	0	0.172352694823	0.00154945071972	0	0.00624804748516	0.00230112525025
Bacteria	Deinococcus-Thermus	0.0446551980777	0.0105325244355	0.00571417687282	0.000688577192946	0.000572744246784	0.0283969899191	0.0312436324119	0.00129548781594	0.0101461038961	0.0100465490104	0.0109023017485	0.0283557225393	0.0441696113074	0.0639526077517	0.0513712163123	0	0.0112222424846	0	0.0754536420185	0.0251728535947	0	0.00218261185886	0.00522329589971	0.0144536084337	0.0476591257085	0.0696561875723	0.0258055002581	0.108871329802	0.0148826133869	0.0415726790512	0	0	0.00198300564165	0.0149506054995	0.140819200392	0.00779646040698	0.0863918847365	0.0706519605919	0.0776397515528	0.00396809650411	0.00122561035396	0	0.0340303891375	0	0.0444668078683	0.0166843622023	0.00719709237468	0.142268004106	0.0550066732902	0.00904962923137	0.311979403302	5.7904149711	0.0123514196867	0	0	0.00716045139486	0	0	0	0	0.0333229199209	0.0483236302552
Bacteria	Fibrobacteres	0	0	0	0.0110172350871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	32.2984668382	4.85022750253	2.07234147921	0.978468191177	7.00809860365	11.514232123	8.48196699042	0.98845720356	0.367288961039	6.80653695456	1.29464833263	3.88473398788	0.981546917943	0.15146670257	1.19339287126	6.80666865325	10.5110328671	1.83940297344	4.3891935662	3.81956098543	0.714228924284	0.518006547836	5.10054844607	0.119242269578	0.310291329081	0.0801703290926	0.210130502101	0.114483254018	0.0930163336682	0.159361936363	0.23273993533	0.75141863445	2.25269440892	0.422067093717	0.879609787955	0.784843680969	0.838837332442	0.294383169133	0.517598343685	2.02968136185	5.81061868811	70.698589865	5.00757176158	24.1810158761	6.33886047954	2.26300621872	0.277088056425	0.669920221866	0.734701535496	0.374228785274	0.0605785249129	15.2484383505	0.408323403761	0.86571325778	0.98085496984	9.55848656699	0.311160282119	0.21745433459	0.571747315577	40.376157165	0.441528688951	1.53024829141
Bacteria	Fusobacteria	0	0	0	0	0.00171823274035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112300284154	0.00719458966857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
