Kingdom	Phylum	Class	Order	Family	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Acidobacteria	Acidobacteria (class)	Acidobacteria (order)	Acidobacteria (family)	0.0744253301295	0.00737276710482	0.0533323174797	0	0	0	0.0271683760103	0.143799147569	0	0	0.00272557543711	0.00354446531741	0.00245386729486	0	0.105376853974	0	0.0210417046586	0	0.0423276528396	0.00335638047929	0	0.00291014914514	0.101854270044	0.051490980045	0.0344768143424	0.0367994953212	0	0.127951872138	0	0.16013180079	0.00177664072771	0.00183049606443	0.016855547954	0.0586523754212	0	0	0	0	0	0.0119042895123	0.0232865967252	0.0597937116947	0.00850759728437	0	0.177867231473	0	0.111554931808	0.00180086081147	0	1.2994202914	0.0212024837195	0	0.0108983114883	0	0	0.00429627083691	0	0	0	0	0.0145787774654	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	5.29483062921	10.9064290529	7.76937582141	8.9225832662	1.6747041776	5.23027716957	5.71758473137	17.9282558848	0.905032467532	3.71554870902	8.37841889369	2.69733810655	6.09786022772	0.875140948182	4.50090887537	0.726149213469	10.8294639976	11.5956431091	7.21042364459	5.90555145331	9.07826040866	4.16078574027	3.48132671716	16.2350156731	9.0349534056	11.5103564294	7.69741207697	12.1116548442	5.08241247163	15.9954731972	16.2260597662	12.386966868	19.2093756507	10.1963129507	1.65105410314	6.07344265703	7.52724131204	2.32366448169	2.7316252588	6.4223641919	0.804000392195	3.24630026409	1.77808783243	3.29752026476	9.76982576032	6.33399059609	5.75407535356	7.20164238506	6.78159792254	26.4829414489	4.13448432531	0.018143645836	9.00418495161	0.00449721172873	2.10333071073	13.0434782609	0	0.00322154569763	0.010846155038	0.0167553302894	9.41164219515	4.70350001151
Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	1.41408127246	1.74734580384	1.28188034514	0.81802970522	0.0183278158971	0.315356045943	0.573252733818	0.664585249576	0.0162337662338	0.0368373463715	0.0449719947124	0.184312196505	0.517765999215	0.358471196082	0.359598514186	0.175655965245	1.02683518734	0.898267765632	0.57970481063	0.23494663355	3.6294490234	1.17570025464	0.253329851136	1.51762888554	1.82524311224	0.947587004521	1.34925901349	3.59948819251	0.457640361648	0.224800412647	0.00888320363856	1.93117334798	2.79901246319	3.36043609766	0.0489805914406	1.03173159386	0.125407574618	0.0785021784355	0.0504658385093	0.0833300265862	0.0306402588489	0.433504409786	0.0867774923006	0.0815386829105	0.757105912915	0.539966631276	1.94681348735	0.754560680005	0.826379324313	1.57516781739	0.517946388005	0	2.55674387515	0	0.178337267244	1.75645872716	0	0	0	0.00418883257236	0.0624804748516	0.0897438847596
Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	0.153103536266	0.135869565217	0.428563265462	0.0227230473672	0.00572744246784	0.0209240978351	0.107315085241	0.220232928709	0.0466720779221	0.3533036402	0.155357799916	0.0708893063481	0.0539850804868	0.0201955603427	0.147527595564	0.0109784978278	0.0519028714913	0.0292278014848	0.138024954912	0.0839095119823	0.245143508335	0.213168424882	0.0705144946461	0.396570881399	0.384315077522	0.370623488592	0.313352503134	0.424261470773	0.230680507497	0.124718037154	1.04288810717	0.463115504302	0.126912361066	0.180557312571	0.0489805914406	0.109150445698	0.0640972048045	0.0314008713742	0.0155279503106	0.0178564342685	0.00490244141583	0.0124570232697	0.0068060778275	0	0.278502638754	0.230547550432	0.349058980172	0.185488663581	0.229407676203	0.150649710146	0.0333181887021	0	0.110436223081	0	0.115394702334	0.0687403333906	0	0	0	0	0.0520670623763	0
Bacteria	Actinobacteria	Actinobacteria (class)	Acidimicrobiales	Acidimicrobiaceae	0.0021264380037	0.00631951466127	0.00571417687282	0	0.00458195397427	0	0.0122257692046	0.00129548781594	0.00405844155844	0	0	0	0.00245386729486	0.0555377909423	0.0052688426987	0.00313671366509	0.0238472652798	0	0.00552099819647	0.00335638047929	0.0225267007659	0.0451073117497	0	0.0162603094879	0.0192664550737	0.0118284092104	0.0331785003318	0.0235700817096	0.0446478401607	0	0	0.00457624016108	0.0218130620582	0.00115004657689	0.00204085797669	0	0.0250815149235	0	0.00646997929607	0.00595214475616	0	0	0.00170151945687	0.0239819655619	0.032765016324	0.00910056120127	0.0359854618734	0.0864413189505	0.227702042922	0.0117112848877	0.0212024837195	0	0.0138045278851	0	0	0.00930858681331	0	0	0	0	0	0.00460225050049
Bacteria	Actinobacteria	Actinobacteria (class)	Acidimicrobiales	Iamiaceae	0.0148850660259	0.0568756319515	0.0476181406068	0.00275430877178	0.00286372123392	0.0104620489176	0.0353188888134	0.0246142685028	0.0202922077922	0.0385117712066	0.00817672631134	0.0106333959522	0.0122693364743	0	0.0421507415896	0	0.0434861896278	0.00194852009898	0.0828149729471	0.028529234074	0.0225267007659	0.0123681338669	0.00261164794986	0.0252938147589	0.0212945029762	0.0367994953212	0.0147460001475	0.0303043907695	0	0.000769864426874	0	0.0173897126121	0.0039660112833	0.0253010246915	0.00612257393008	0.0363834818992	0.0529498648385	0.0392510892177	0.00517598343685	0.111106702115	0	0.0124570232697	0.00510455837062	0.00239819655619	0.0959546906631	0	0.0755694699341	0.0054025824344	0.00895457472166	0.0037263179188	0	0.165884761929	0.0276090557703	0	0.00524521374246	0.023629489603	0	0	0	0	0.00208268249505	0.0575281312562
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Acidothermaceae	0	0.00315975733064	0.0076189024971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153569589608	0.00709816765872	0.00657133845022	0	0.00112238484332	0.00372065334673	0	0	0	0.00991502820826	0	0	0	0.044589359864	0.0117753267653	0.00517598343685	0	0	0	0	0	0	0	0	0	0	0	0.00302892624565	0	0.00145310819844	0	0	0.000716045139486	0	0	0.00154945071972	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinospicaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0684654754422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinosynnemataceae	0.0106321900185	0.00105325244355	0	0.179030070166	0	0.00747289208397	0	0.00518195126375	0	0	0.00136278771856	0.00708893063481	0.00736160188457	0.00336592672378	0	0	0	0.0467644823756	0.00736133092863	0.028529234074	0.00265020009011	0.0371044016006	0.0705144946461	0	0	0.00131426769004	0.00737300007373	0	0.0520891468542	0	0	0.00183049606443	0	0.00115004657689	0.0102042898835	0	0	0	0	0	0	0	0	0	0	0.0955558926134	0	0.00720344324587	0	0	0	0	0.00217966229765	0	0.309467610805	0.025061579882	0	0	0	0	0.00624804748516	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Bogoriellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00230959328062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113098479454	0	0
