Kingdom	Phylum	Class	Order	Family	Genus	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Acidobacteria	Acidobacteria (class)	Acidobacteria (order)	Acidobacteria (family)	Koribacter	0.0744253301295	0.00737276710482	0.0533323174797	0	0	0	0.0271683760103	0.143799147569	0	0	0.00272557543711	0.00354446531741	0.00245386729486	0	0.105376853974	0	0.0210417046586	0	0.0423276528396	0.00335638047929	0	0.00291014914514	0.101854270044	0.051490980045	0.0344768143424	0.0367994953212	0	0.127951872138	0	0.16013180079	0.00177664072771	0.00183049606443	0.016855547954	0.0586523754212	0	0	0	0	0	0.0119042895123	0.0232865967252	0.0597937116947	0.00850759728437	0	0.177867231473	0	0.111554931808	0.00180086081147	0	1.2994202914	0.0212024837195	0	0.0108983114883	0	0	0.00429627083691	0	0	0	0	0.0145787774654	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	4.85040508644	10.6768200202	6.90463038799	8.87576001708	1.63862129005	5.22878259115	4.27630238402	9.1526214196	0.765016233766	3.15461638927	5.23855599013	2.68670471059	6.07332155477	0.868409094734	4.44295160568	0.712034001976	10.645699777	11.4670407825	7.01534837499	5.86527488756	8.64760289402	3.78101127683	3.42125881431	11.7489769555	8.84533092672	8.66365261276	7.32507557325	7.93526084224	3.28161625181	11.7673777648	14.2024659773	11.7774116786	17.730053442	8.55404643888	1.17757505255	5.28859897606	7.51609397208	2.29618871924	2.65010351967	6.42038014365	0.606677125208	2.72808809607	1.77808783243	3.2951220682	8.14210655651	5.23585621113	4.04116736838	4.53997010571	5.45418882213	17.8884553348	3.98606693927	0.018143645836	8.00371995699	0.00449721172873	2.10333071073	12.0488915621	0	0.00322154569763	0.00929670431832	0.0167553302894	9.37207122774	4.70350001151
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	0.199885172348	0.119017526121	0.226662349289	0.0413146315768	0.00916390794854	0.000747289208397	0.468654486178	6.95547408377	0.0710227272727	0.284652221962	1.64624756402	0.00354446531741	0	0.00336592672378	0.0500540056377	0.0141152114929	0.137472470436	0.0155881607919	0.174831609555	0.0184600926361	0.315373810723	0.132411786104	0.054844606947	0.974715218746	0.0973462993196	0.742561244874	0.254368502544	1.02024782257	0.874353536481	1.13478016521	0.701773087446	0.345963756178	0.184419524674	0.891286097087	0.351027571991	0.361235998857	0.011147339966	0.0235506535306	0.060817805383	0	0.0625061280518	0.251631870048	0	0	0.613173876921	1.00561201274	1.04357839433	2.22226224135	1.04896446739	2.76599255801	0.0969256398607	0	0.294254410183	0	0	0.242739302286	0	0	0	0	0.039570967406	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	0.244540370426	0.110591506572	0.638083084132	0.00550861754357	0.0269189795988	0.000747289208397	0.97262786117	1.82016038139	0.0689935064935	0.276280097786	1.49361533954	0.00708893063481	0.0245386729486	0.00336592672378	0.00790326404805	0	0.046291750249	0.113014165741	0.0202436600537	0.0218164731154	0.11528370392	0.247362677337	0.00522329589971	3.51132349886	0.0922761795634	2.10414257176	0.11796800118	3.1561461794	0.926442683335	3.09331526718	1.32182070142	0.263591433278	1.294902684	0.750980414707	0.122451478602	0.423607682112	0	0.00392510892177	0.0207039337474	0.00198404825205	0.134817138935	0.266580297972	0	0.00239819655619	1.01454532689	0.092522372213	0.669329590845	0.439410037998	0.278444633012	5.82849355613	0.051491746176	0	0.70621058444	0	0	0.75184739646	0	0	0.00154945071972	0	0	0
Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix	0	0	0	0	0.000572744246784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187167140256	0.0287783586743	0.0456369870227	0	0	0	0	0	0.184764500984	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Holophaga	1.41408127246	1.74734580384	1.28188034514	0.81802970522	0.0177550716503	0.315356045943	0.573252733818	0.664585249576	0.0162337662338	0.0368373463715	0.0449719947124	0.184312196505	0.517765999215	0.358471196082	0.359598514186	0.175655965245	1.02683518734	0.898267765632	0.57970481063	0.23494663355	3.6294490234	1.17570025464	0.253329851136	1.51762888554	1.82524311224	0.947587004521	1.34925901349	3.59948819251	0.457640361648	0.224800412647	0.00888320363856	1.93117334798	2.79901246319	3.36043609766	0.0489805914406	1.03173159386	0.125407574618	0.0785021784355	0.0504658385093	0.0833300265862	0.0306402588489	0.433504409786	0.068060778275	0.0527603242362	0.711468925893	0.539966631276	1.94681348735	0.754560680005	0.826379324313	1.57516781739	0.333181887021	0	2.55674387515	0	0.178337267244	1.75645872716	0	0	0	0.00418883257236	0.0624804748516	0.0897438847596
Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	Solibacter	0.153103536266	0.135869565217	0.428563265462	0.0227230473672	0.00572744246784	0.0209240978351	0.107315085241	0.220232928709	0.0466720779221	0.3533036402	0.155357799916	0.0708893063481	0.0539850804868	0.0201955603427	0.147527595564	0.0109784978278	0.0519028714913	0.0292278014848	0.138024954912	0.0839095119823	0.245143508335	0.213168424882	0.0705144946461	0.396570881399	0.384315077522	0.370623488592	0.313352503134	0.424261470773	0.230680507497	0.124718037154	1.04288810717	0.463115504302	0.126912361066	0.180557312571	0.0489805914406	0.109150445698	0.0640972048045	0.0314008713742	0.0155279503106	0.0178564342685	0.00490244141583	0.0124570232697	0.0068060778275	0	0.278502638754	0.230547550432	0.349058980172	0.185488663581	0.229407676203	0.150649710146	0.0333181887021	0	0.110436223081	0	0.115394702334	0.0687403333906	0	0	0	0	0.0520670623763	0
Bacteria	Actinobacteria	Actinobacteria (class)	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	0.0021264380037	0.00526626221773	0.00571417687282	0	0.000572744246784	0	0.0108673504041	0.00129548781594	0.00405844155844	0	0	0	0.00245386729486	0.0555377909423	0.0052688426987	0.00313671366509	0.0238472652798	0	0.00552099819647	0.00335638047929	0.0225267007659	0.0451073117497	0	0.0162603094879	0.0192664550737	0.0118284092104	0.0331785003318	0.0235700817096	0.0446478401607	0	0	0.00457624016108	0.0218130620582	0.00115004657689	0.00204085797669	0	0.0250815149235	0	0.00646997929607	0.00198404825205	0	0	0	0	0.032765016324	0.00910056120127	0.0359854618734	0.0864413189505	0.227702042922	0.0117112848877	0.0212024837195	0	0.0138045278851	0	0	0.00644440625537	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	0	0.00105325244355	0	0	0.00400920972749	0	0.00135841880052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00396809650411	0	0	0.00170151945687	0.0239819655619	0	0	0	0	0	0	0	0	0	0	0	0.00286418055794	0	0	0	0	0	0.00460225050049
Bacteria	Actinobacteria	Actinobacteria (class)	Acidimicrobiales	Iamiaceae	Iamia	0.0148850660259	0.0568756319515	0.0476181406068	0.00275430877178	0.00286372123392	0.0104620489176	0.0353188888134	0.0246142685028	0.0202922077922	0.0385117712066	0.00817672631134	0.0106333959522	0.0122693364743	0	0.0421507415896	0	0.0434861896278	0.00194852009898	0.0828149729471	0.028529234074	0.0225267007659	0.0123681338669	0.00261164794986	0.0252938147589	0.0212945029762	0.0367994953212	0.0147460001475	0.0303043907695	0	0.000769864426874	0	0.0173897126121	0.0039660112833	0.0253010246915	0.00612257393008	0.0363834818992	0.0529498648385	0.0392510892177	0.00517598343685	0.111106702115	0	0.0124570232697	0.00510455837062	0.00239819655619	0.0959546906631	0	0.0755694699341	0.0054025824344	0.00895457472166	0.0037263179188	0	0.165884761929	0.0276090557703	0	0.00524521374246	0.023629489603	0	0	0	0	0.00208268249505	0.0575281312562
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Acidothermaceae	Acidothermus	0	0.00315975733064	0.0076189024971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153569589608	0.00709816765872	0.00657133845022	0	0.00112238484332	0.00372065334673	0	0	0	0.00991502820826	0	0	0	0.044589359864	0.0117753267653	0.00517598343685	0	0	0	0	0	0	0	0	0	0	0	0.00302892624565	0	0.00145310819844	0	0	0.000716045139486	0	0	0.00154945071972	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinospicaceae	Actinospica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0684654754422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinosynnemataceae	Umezawaea	0.0106321900185	0.00105325244355	0	0.179030070166	0	0.00747289208397	0	0.00518195126375	0	0	0.00136278771856	0.00708893063481	0.00736160188457	0.00336592672378	0	0	0	0.0467644823756	0.00736133092863	0.028529234074	0.00265020009011	0.0371044016006	0.0705144946461	0	0	0.00131426769004	0.00737300007373	0	0.0520891468542	0	0	0.00183049606443	0	0.00115004657689	0.0102042898835	0	0	0	0	0	0	0	0	0	0	0.0955558926134	0	0.00720344324587	0	0	0	0	0.00217966229765	0	0.309467610805	0.025061579882	0	0	0	0	0.00624804748516	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Bogoriellaceae	Georgenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00230959328062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113098479454	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Catenulisporaceae	Catenulispora	0.0127586280222	0	0.0323803356127	0	0.00286372123392	0	0	0	0	0.00167442483507	0.00136278771856	0	0	0	0	0	0	0	0.0331259891788	0	0.0530040018021	0.376864314296	0	0.0117435568524	0.00101402395125	0	0.0221190002212	0.00112238484332	0.275328347658	0	0	0.042101409482	0.0922097623368	0.0230009315377	0.00204085797669	0.47298526469	0	0	0	0	0	0	0	0	0	0	0.687322321782	0.0288137729835	0.000426408320079	0.000532331131257	0	0	0.000726554099218	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Cellulomonadaceae	Cellulomonas	0.0021264380037	0.00210650488709	0.0247614331156	0.000688577192946	0.0120276291825	0.035869882003	0.00407525640155	0	0.0385551948052	0.0987910652691	0.00272557543711	0.134689682061	0.137416568512	0.0353422305996	0.0869359045286	0.00156835683255	0.0505000911807	0.0136396406929	0.353343884574	0.186279116601	0	0	0.0130582397493	0.000903350527105	0.0801078921484	0.0105141415203	0.0479245004792	0	0	0	0	0	0	0	0	0	0.128194409609	0.105977940888	0.0414078674948	0	0	0	0.0833744533869	0.0719458966857	0.242227084967	0	0	0	0	0	0.0212024837195	0	0.000726554099218	0.0359776938298	0.00524521374246	0.0193332187661	0.0570460517218	0.0144969556393	0.0433846201522	0	0.326981151723	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00461918656125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Cryptosporangiaceae	Cryptosporangium	0.0467816360814	0.186425682508	0.516180644178	0.0165258526307	0.0103093964421	0.00448373525038	0.581403246621	0.160640489176	1.4549512987	0.524094973377	0.252115727933	0.280012760075	0.279740871614	0.0504889008566	0.302958455175	0.109784978278	0.197792023791	0.222131291284	0.357024550039	0.14264617037	0.0649299022076	0.130956711531	0.0130582397493	0.4399317067	0.241337700396	0.193197350436	0.637764506378	0.177336805244	0.379506641366	0.562770896045	0.24872970188	0.0942705473183	0.176487502107	0.117304750842	20.5493989673	0.322253696822	3.07945266561	1.80162499509	0.825569358178	0.194436728701	0.11153054221	0.0996561861578	0.00510455837062	0	0.403711808278	2.90156226301	0.435424088668	2.26548290083	1.18328308822	0.318866347623	0.0181735574739	0.0492470386978	0.123514196867	0.568897283684	0.0629425649095	0.0558515208799	1.38466325543	0.974517573532	0.977703404143	0	0.710194730813	0.0598292565064
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dermabacteraceae	Brachybacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0938794669279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dietziaceae	Dietzia	0.0361494460629	0.453951803168	0.114283537456	0.121878163151	0.0916390794854	0.0612777150885	0.146709230456	0.04145561011	0.0527597402597	0.281303372292	0.117199743796	0.127600751427	0.559481743227	0.0201955603427	0.110645696673	0.108216621446	0.136069690126	0.245513532472	0.0828149729471	0.203061018997	0.00265020009011	0.0982175336486	0.138417341342	0.00813015474395	0.00811219160997	0.0893702029229	0.0294920002949	0.0280596210829	0.0372065334673	0.0384932213437	0.00355328145542	0.00457624016108	0.00198300564165	0.0138005589226	0.159186922182	0.296265495465	2.25454950812	1.31883659772	0.709109730849	0.186500535693	0.0257378174331	0.00249140465394	0.0119106361981	0	0.0971248698176	0	0.0611752851848	0.0216103297376	0.0660932896123	0.0298105433504	0.0121157049826	0.549493273891	0.0995379115929	0.0292318762367	0	0.098814229249	0.0397593693818	0.186849650462	0.0154945071972	0	0.17702801208	0.285339531031
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Frankiaceae	Frankia	0.0659195781147	0.126390293225	0.279994666768	0.00757434912241	0.00801841945498	0.000747289208397	0.429260340963	0.0751382933244	0.322646103896	0.666421084358	0.38703171207	0.102789494205	0.431880643895	0	0.391211570379	0.00470507049764	0.105208523293	0.284483934452	0.336780889985	0.226555682352	0.0636048021626	0.236449618043	0.00261164794986	0.946711352406	0.417777867913	0.402165913153	0.61195900612	0.305288677382	0.476243628381	0.535055776678	0.79948832747	0.0604063701263	0.00694051974578	0.0724529343438	0.420416743199	0.158528028275	0.66884039796	0.529889704439	0.203157349896	0.0297607237808	0.0441219727424	0.117096018735	0.00170151945687	0	0.354564283792	1.4439557106	0.579365936162	0.428604873129	0.0409351987276	0.206012147796	0.0242314099652	0.0129597470257	0.0871864919062	0.321550638604	0.068187778652	0.0393824826717	0.0224726870419	0.136915692149	0.308340693224	0	0.154118504634	0.00920450100099
