Kingdom	Phlyum	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Acidobacteria	6.93644076807	12.7970171891	9.53315174949	9.76333601878	1.69875943596	5.56655731335	6.42532092644	18.9568732106	0.967938311688	4.10568969559	8.58147426375	2.95608407472	6.67206517472	1.25380770461	5.11341183909	0.912783676542	11.9292437611	12.5231386762	7.97048106298	6.22776397932	12.9528529404	5.55256456893	3.90702533299	18.2007064201	11.2789884097	12.8653664178	9.3600235936	16.2633563796	5.77073334077	16.5051234478	17.2796077177	14.7830862164	22.1521560229	13.7959587363	1.74901528603	7.21432469659	7.71674609146	2.4335675315	2.79761904762	6.53545494226	0.862829689185	3.75205540884	1.88017899985	3.37905894767	10.9833015435	7.10450477779	8.16150275289	8.14349258946	7.83738492305	29.5081792678	4.70695138573	0.018143645836	11.6822633613	0.00449721172873	2.3970626803	14.8729735923	0	0.00322154569763	0.010846155038	0.0209441628618	9.54076850984	4.79324389627
Bacteria	Actinobacteria	5.55638250367	10.9875294911	10.9826479496	21.0649534866	1.0956597441	2.61775409701	13.6819941588	7.54492104002	5.82589285714	18.6179297411	20.8969868764	7.3512210683	16.6617589321	7.9351722513	11.677072631	17.0652906949	15.1935135438	17.4275637653	19.4118296588	17.8005638719	6.6970556277	11.6587850127	6.3959258292	12.0272089179	16.6299928004	11.2816738513	13.5147091351	10.0778935081	8.04777318897	6.70166983594	15.666417937	12.130697419	37.2765400518	7.99857394224	33.2659850201	29.3666675329	19.4186662208	10.986379872	6.36645962733	37.2207452085	4.28228257672	7.18271961732	1.97376256997	1.24466401266	10.4087435786	13.4339450933	14.3725934722	7.32410092024	5.05933471774	4.85539224819	1.24185976071	57.2509784609	4.0883199163	25.7173052707	25.559926567	11.432376697	26.2965011755	45.3803034696	21.5683540185	35.8333682403	11.6505258773	13.0611869204
Bacteria	Bacteroidetes	1.80747230315	7.4328024941	4.63229271823	8.78762213638	14.9411791659	4.26104306628	3.50743734293	6.88422225389	3.88798701299	9.22775526607	5.19085841998	2.86038351115	6.65979583824	2.01114121746	3.55119997892	0.221138313389	5.08928696677	4.65111747628	2.21023961132	4.55125192992	1.33702594546	1.07457257184	6.58657612954	2.59442271385	1.65083099263	3.68126379981	1.98702351987	4.27740863787	2.92071287718	7.02732248851	1.97562448922	0.586673988651	0.642493827895	4.17926926041	3.63272719851	0.265079653837	7.29036033776	5.32244769792	5.33902691511	1.1586841792	5.19781351113	0.63779959141	12.5538105528	5.88277615233	5.25059386592	2.1598665251	2.14833207384	10.3963694646	5.84819010989	4.58017705333	9.83795244586	7.57886006065	7.91072103229	6.55018888289	13.1759769211	3.96689007275	23.2436730743	11.655552334	7.982770108	3.53746910736	3.2823076122	4.76102814276
Bacteria	Chlamydiae	0	0	0	0	0.000572744246784	0.0179349410015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00259882013566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Chloroflexi	0.0893103961554	0.346520053927	0.184758385555	0.358060140332	0.0962210334597	0.588863896216	0.153501324458	0.163231464808	0.00405844155844	0.0468838953819	0.0272557543711	0.354446531741	0.441696113074	0.621013480537	0.306910087199	0.130173617101	0.430653555347	0.596247150289	0.471125179432	0.310465194334	1.05610473591	5.65732993816	0.198485244189	1.22765336634	0.749363699971	0.218168436547	0.272801002728	1.03820598007	0.535774081929	0.0284849837944	0.0213196887325	0.301116602599	0.0664306889953	0.144905868688	0.00204085797669	0.296265495465	0.37064905387	0.294383169133	0.151397515528	0.0853140748383	0.055152465928	0.0124570232697	1.0021949601	0.731449949638	0.454029511918	0.0849385712119	2.42542013027	0.198094689261	0.158197486749	2.15647341272	1.10252915342	0.235867395868	0.595774361359	0	0.157356412274	0.252047889099	0	0	0	0	0.620639383526	0.204800147272
Bacteria	Chrysiogenetes	0	0	0	0	0	0.0224186762519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	0.0021264380037	0	0	0	2.81274699596	0.094158440258	0	0	0	0.00167442483507	0	0.0248112572218	0	0	0	0	0.0280556062115	0.0194852009898	0.0386469873753	0.00167819023965	0	0.000727537286286	0.284669626534	0.00180670105421	0	0.00131426769004	0.0221190002212	0	0	0	0	0.000915248032217	0	0	0	0	0	0	0	0	0.00122561035396	0	0.0714638171887	0.338145714423	0.00234035830886	0	0.010795638562	0.00180086081147	4.95912876252	0.00798496696885	5.52173254581	0	0	0	0	0.00214813541846	0	0.172352694823	0.00154945071972	0	0.00624804748516	0.00230112525025
Bacteria	Deferribacteres	0.574138260999	0.860507246377	2.97327669949	0.00206573157884	0.000572744246784	0.0112093381259	0.115465598044	0.630902566361	0.142045454545	0.0954422155989	0.0095395140299	0.361535462376	0.780329799764	0.779212036554	1.26583945836	0.0580292028042	2.27530966375	1.26458954424	3.03470867533	1.48687655233	2.36265338033	1.61877046199	0.253329851136	0.168926548569	1.9530101301	0.457365156135	3.86345203863	1.75540989494	0.107898947055	0.00230959328062	0	0.77613033132	0.287535818039	0.764780973629	1.33472111676	0.0467787624419	0.889000362289	0.117753267653	0.203157349896	0.158723860164	0.083341504069	0.0398624744631	0.00510455837062	0	2.50769392794	0.721977855301	0.0395840080607	0.262925678474	0.606779039473	0.00106466226251	0.093896713615	0.0259194940515	3.19175215787	0	0.0104904274849	1.16715357736	0	0	0	0	1.49953139644	0.303748533033
Bacteria	Deinococcus-Thermus	0.197758734344	0.104271991911	0.00571417687282	0.0364945912261	0.00687293096141	0.0291442791275	0.084221965632	0.0155458537912	0.0324675324675	2.54512574931	0.164897313945	3.6649771382	0.880938358854	0.0790992780087	0.869359045286	0.017251925158	0.4376674569	0.559225268409	0.774780080239	3.45203732295	0.00530040018021	0.00218261185886	1.54348393837	0.0225837631776	0.053743269416	0.0801703290926	0.0258055002581	0.127951872138	0.0148826133869	0.0415726790512	0	0.000915248032217	0.00198300564165	0.0172506986533	0.140819200392	0.00779646040698	0.273109829167	0.368960238647	0.260093167702	0.533708979802	0.639768604765	0	0.0340303891375	0	0.23520601004	0.0166843622023	0.00719709237468	0.142268004106	0.0550066732902	0.0106466226251	0.311979403302	5.82929421218	0.0152576360836	0	0.0104904274849	0.072320559088	0	0	0	0	4.4611059044	3.46319350162
Bacteria	Fibrobacteres	0	0	0	0.0110172350871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
