Kingdom	Phylum	Class	Order	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Acidobacteria	Acidobacteria (class)	Acidobacteria (order)	0.0722988921258	0.00737276710482	0.0457134149826	0	0	0	0.0271683760103	0.142503659753	0	0	0.00272557543711	0	0	0	0.105376853974	0	0	0	0.00184033273216	0	0	0.00291014914514	0	0.051490980045	0.0344768143424	0.0367994953212	0	0.127951872138	0	0.16013180079	0.00177664072771	0.00183049606443	0.016855547954	0.0563522822674	0	0	0	0	0	0.0119042895123	0.0220609863712	0.0597937116947	0	0	0.016382508162	0	0.111554931808	0.00180086081147	0	1.28824133764	0.0212024837195	0	0.0108983114883	0	0	0.00286418055794	0	0	0	0	0.00208268249505	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	3.07695579135	4.46157735086	4.76562351193	1.70216282096	1.27550143759	3.36803246224	3.55905725735	14.6649220764	0.493100649351	1.18716720806	7.90008040448	1.79349945061	3.15567334119	0.518352715461	2.66735161622	0.381110710309	6.47663669393	7.39853081585	4.52537818838	2.78243941733	5.35075398193	2.49909057839	0.937581613998	11.2403906088	3.29963393735	7.3388707812	4.3095185431	8.30901499506	2.63422256948	14.3595112901	11.6654230182	8.87973640857	10.5674370644	7.43965130588	1.33472111676	4.06455469217	3.48633057437	1.11865604271	1.43245341615	5.94420856315	0.479213648397	2.80781304499	1.03112079087	1.40534318193	6.18907754777	2.60427726376	3.0983482673	5.42779448576	3.42704366848	18.3707473397	1.92336816599	0.0155516964309	5.16943241594	0.00449721172873	1.01757146604	8.71068912184	0	0.00322154569763	0.00309890143944	0.0125664977171	2.08476517755	2.93623581932
Bacteria	Acidobacteria	Holophagae	Holophagales	0.119080528207	0.304389956185	0.0952362812137	0.128763935081	0.00286372123392	0.0381117496282	0.081505128031	0.040160122294	0	0	0.00545115087423	0.0354446531741	0.117785630153	0.0168296336189	0.0645433230591	0.00470507049764	0.148694712921	0.0954774848503	0.191394604144	0.0637712291065	0.780483926536	0.169516187705	0.0522329589971	0.107498712725	0.412707748157	0.102512879823	0.37602300376	0.530888030888	0.00372065334673	0.00538905098812	0	0.1363719568	0.0664306889953	1.00974089451	0	0.0675693235271	0.0418025248725	0.035325980296	0.0232919254658	0.00396809650411	0	0.0124570232697	0.0221197529394	0.0767422897981	0.205951531179	0.0697709692098	0.0395840080607	0.00900430405734	0.0993531385784	0.103804570595	0.0181735574739	0	0.19544305269	0	0.00524521374246	0.283553875236	0	0	0	0.00418883257236	0	0.0161078767517
Bacteria	Acidobacteria	Solibacteres	Solibacterales	0.0574138260999	0.00210650488709	0.0457134149826	0	0	0	0.00679209400258	0.0233187806869	0.00405844155844	0.0468838953819	0.0095395140299	0.00354446531741	0	0	0.0461023736136	0	0.00140278031058	0.00194852009898	0.00736133092863	0.00167819023965	0.0172263005857	0.0232811931611	0.00261164794986	0.186090208584	0.0811219160997	0.0959415413731	0.0516110005161	0.121217563078	0.0297652267738	0.0400329501975	0.493906122304	0.0869485630606	0.00297450846248	0.0126505123458	0.00408171595339	0.0389823020349	0	0	0	0	0	0.00249140465394	0	0	0.00702107492657	0.0667374488093	0.12235057037	0.0432206594752	0.0230260492843	0.0196962518565	0	0	0.0079920950914	0	0	0.00429627083691	0	0	0	0	0	0
Bacteria	Acidobacteria	Unknown	Unknown	0.276436940481	0.902637344119	0.434277442334	0.792552349081	0.021191537131	0.607546126426	0.281192691707	0.599810858779	0.0507305194805	0.457117979974	0.207143733221	0.255201502853	0.549666274048	0.366886012891	0.407018098475	0.169382537915	0.760306928332	1.08337717504	0.863116051382	0.328925286971	0.793734926987	0.391415060022	0.214155131888	0.448965211971	1.30707687316	0.444222479235	0.630391506304	0.691389063482	0.256725080924	0.107011155336	0.676900117258	0.761486362804	0.203258078269	1.33290398261	0.0326537276271	0.122144546376	0.094752389711	0.0471013070613	0.0375258799172	0.0833300265862	0.0147073242475	0.0822163535801	0.209286893196	0.0119909827809	0.528920977802	0.229030790232	0.33826334161	0.176484359524	0.292516107574	0.227837724178	0.448281084356	0	0.869685256764	0	0.110149488592	1.41920146646	0	0	0	0	0.172862647089	0.0828405090089
Bacteria	Actinobacteria	Actinobacteria (class)	Acidimicrobiales	0.0148850660259	0.0505561172902	0.0380945124855	0.00275430877178	0.00744567520819	0.0104620489176	0.0366773076139	0.0181368294231	0.0142045454545	0.0385117712066	0.00817672631134	0.0106333959522	0.0147232037691	0.0555377909423	0.0421507415896	0.00313671366509	0.0505000911807	0.00194852009898	0.0736133092863	0.028529234074	0.0304773010362	0.0451073117497	0.00261164794986	0.03432732003	0.0253505987811	0.0394280307013	0.0147460001475	0.0325491604561	0.0446478401607	0.000769864426874	0	0.0173897126121	0.00198300564165	0.0161006520764	0.00816343190677	0.0363834818992	0.078031379762	0.0392510892177	0.0103519668737	0.117058846871	0	0.0124570232697	0.0068060778275	0.0263801621181	0.0971248698176	0.00910056120127	0.111554931808	0.0180086081147	0.173974594592	0.0154376028064	0.0212024837195	0.165884761929	0.0297887180679	0	0	0.0229134444635	0	0	0	0	0	0.0621303817567
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	3.94028962086	7.14842433434	8.51031408926	19.1865149043	0.893481024983	1.73968927715	10.3294165591	4.88398906608	5.29626623377	17.2047151803	17.5418035133	6.02204657427	12.4116607774	5.39894646494	8.74891330119	15.200514421	10.7705472246	13.366847879	15.0962494019	14.9677787474	4.1647894416	8.91087668243	5.20501436406	10.4291818354	9.85124268635	9.81232257386	9.52591609526	7.88812067882	7.24039141273	6.22358402685	11.3722772981	9.00787113308	35.4075572345	4.56568491024	32.8578134248	24.2469918657	15.6843073322	9.01990030223	5.08022774327	30.2547517956	4.02245318168	4.68134934476	1.76787871569	0.904120101684	8.11285207765	12.2887911421	10.1191118788	6.6271677862	2.13246800872	3.52509675118	1.13887626836	56.4371063477	3.24697026941	25.5936319482	22.9583005507	6.61410895343	26.1685797262	44.9888856673	21.5249693983	35.6909479328	9.50536290742	9.63941367329
Bacteria	Actinobacteria	Actinobacteria (class)	Rubrobacterales	0	0.011585776879	0.0495228662311	0.000688577192946	0.000572744246784	0	0	0.108820976539	0.00405844155844	0.00669769934028	0.00136278771856	0.131145216744	0.132508833922	0.87345798482	0.0158065280961	0.128605260269	0.133264129505	0.0818378441574	0.11962162759	0.0352419950326	0.198765006758	0.246635140051	0.0496213110473	0.000903350527105	0.0436030299036	0.00394280307013	0.110595001106	0	0.0372065334673	0	0	0.0622368661907	0	0.0080503260382	0	0	0.0139341749575	0.0157004356871	0.0271739130435	0.0773778818301	0.00245122070791	0	0	0	0.0128719706987	0	0	0	0.00639612480119	0	0	0	0.00290621639687	0	0	0.0207653090451	0	0	0	0	0.322815786733	0.177186644269
Bacteria	Actinobacteria	Actinobacteria (class)	Solirubrobacterales	1.42046058647	2.96701213347	2.26852821851	1.68081692798	0.0630018671462	0.588116607008	3.13387217279	2.36037880064	0.359172077922	1.06325977027	3.18347211055	0.995994754191	3.36670592854	1.56347296319	2.71213677916	1.34721851916	3.80854854321	3.35145457025	3.68250579705	2.32764986239	2.04330426947	2.08875954893	0.997649516845	1.50588532868	6.28897654563	1.29061087162	3.53166703532	2.02029271797	0.595304535476	0.436513130038	4.27815087233	2.77777777778	1.7757815521	3.16262808644	0.22857609339	4.61030692066	1.56898810021	0.741845586215	0.614648033126	5.67239395262	0.234091577606	2.44905077483	0.188868659713	0.292579979855	1.90973238003	1.09813438495	3.91881679801	0.534855661006	2.49363585582	1.22862025094	0.051491746176	0.00259194940515	0.580516725275	0.00674581759309	2.36559139785	4.30987569456	0	0	0.00464835215916	0.140325891174	1.62240966365	2.7935660538
Bacteria	Actinobacteria	Actinobacteria (class)	Thermoleophilales	0.0127586280222	0.0168520390967	0.0342850612369	0.0220344701743	0	0.000747289208397	0.00543367520206	0.00777292689562	0	0.00167442483507	0.0695021736464	0.00708893063481	0.0368080094229	0	0.0197581601201	0.00627342733019	0.0378750683855	0.116911205939	0.069932643822	0.0268510438343	0.0384279013065	0.0734812659149	0.00783494384957	0	0.061855461026	0	0.00368650003687	0	0.0111619600402	0	0	0.0283726889987	0.000991502820826	0.0218508849608	0	0.135138647054	0	0	0	0.13491528114	0	0	0	0	0.0117017915443	0.0151676020021	0.010795638562	0	0.0724894144135	0	0	0	0	0	0.068187778652	0.047258979206	0	0	0	0	0.0145787774654	0.00690337575074
