Kingdom	Phylum	Class	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Acidobacteria	Acidobacteria (class)	0.0722988921258	0.00737276710482	0.0457134149826	0	0	0	0.0271683760103	0.142503659753	0	0	0.00272557543711	0	0	0	0.105376853974	0	0	0	0.00184033273216	0	0	0.00291014914514	0	0.051490980045	0.0344768143424	0.0367994953212	0	0.127951872138	0	0.16013180079	0.00177664072771	0.00183049606443	0.016855547954	0.0563522822674	0	0	0	0	0	0.0119042895123	0.0220609863712	0.0597937116947	0	0	0.016382508162	0	0.111554931808	0.00180086081147	0	1.28824133764	0.0212024837195	0	0.0108983114883	0	0	0.00286418055794	0	0	0	0	0.00208268249505	0
Bacteria	Acidobacteria	Acidobacteriia	3.07695579135	4.46157735086	4.76562351193	1.70216282096	1.27550143759	3.36803246224	3.55905725735	14.6649220764	0.493100649351	1.18716720806	7.90008040448	1.79349945061	3.15567334119	0.518352715461	2.66735161622	0.381110710309	6.47663669393	7.39853081585	4.52537818838	2.78243941733	5.35075398193	2.49909057839	0.937581613998	11.2403906088	3.29963393735	7.3388707812	4.3095185431	8.30901499506	2.63422256948	14.3595112901	11.6654230182	8.87973640857	10.5674370644	7.43965130588	1.33472111676	4.06455469217	3.48633057437	1.11865604271	1.43245341615	5.94420856315	0.479213648397	2.80781304499	1.03112079087	1.40534318193	6.18907754777	2.60427726376	3.0983482673	5.42779448576	3.42704366848	18.3707473397	1.92336816599	0.0155516964309	5.16943241594	0.00449721172873	1.01757146604	8.71068912184	0	0.00322154569763	0.00309890143944	0.0125664977171	2.08476517755	2.93623581932
Bacteria	Acidobacteria	Holophagae	0.119080528207	0.304389956185	0.0952362812137	0.128763935081	0.00286372123392	0.0381117496282	0.081505128031	0.040160122294	0	0	0.00545115087423	0.0354446531741	0.117785630153	0.0168296336189	0.0645433230591	0.00470507049764	0.148694712921	0.0954774848503	0.191394604144	0.0637712291065	0.780483926536	0.169516187705	0.0522329589971	0.107498712725	0.412707748157	0.102512879823	0.37602300376	0.530888030888	0.00372065334673	0.00538905098812	0	0.1363719568	0.0664306889953	1.00974089451	0	0.0675693235271	0.0418025248725	0.035325980296	0.0232919254658	0.00396809650411	0	0.0124570232697	0.0221197529394	0.0767422897981	0.205951531179	0.0697709692098	0.0395840080607	0.00900430405734	0.0993531385784	0.103804570595	0.0181735574739	0	0.19544305269	0	0.00524521374246	0.283553875236	0	0	0	0.00418883257236	0	0.0161078767517
Bacteria	Acidobacteria	Solibacteres	0.0574138260999	0.00210650488709	0.0457134149826	0	0	0	0.00679209400258	0.0233187806869	0.00405844155844	0.0468838953819	0.0095395140299	0.00354446531741	0	0	0.0461023736136	0	0.00140278031058	0.00194852009898	0.00736133092863	0.00167819023965	0.0172263005857	0.0232811931611	0.00261164794986	0.186090208584	0.0811219160997	0.0959415413731	0.0516110005161	0.121217563078	0.0297652267738	0.0400329501975	0.493906122304	0.0869485630606	0.00297450846248	0.0126505123458	0.00408171595339	0.0389823020349	0	0	0	0	0	0.00249140465394	0	0	0.00702107492657	0.0667374488093	0.12235057037	0.0432206594752	0.0230260492843	0.0196962518565	0	0	0.0079920950914	0	0	0.00429627083691	0	0	0	0	0	0
Bacteria	Acidobacteria	Unknown	0.276436940481	0.902637344119	0.434277442334	0.792552349081	0.021191537131	0.607546126426	0.281192691707	0.599810858779	0.0507305194805	0.457117979974	0.207143733221	0.255201502853	0.549666274048	0.366886012891	0.407018098475	0.169382537915	0.760306928332	1.08337717504	0.863116051382	0.328925286971	0.793734926987	0.391415060022	0.214155131888	0.448965211971	1.30707687316	0.444222479235	0.630391506304	0.691389063482	0.256725080924	0.107011155336	0.676900117258	0.761486362804	0.203258078269	1.33290398261	0.0326537276271	0.122144546376	0.094752389711	0.0471013070613	0.0375258799172	0.0833300265862	0.0147073242475	0.0822163535801	0.209286893196	0.0119909827809	0.528920977802	0.229030790232	0.33826334161	0.176484359524	0.292516107574	0.227837724178	0.448281084356	0	0.869685256764	0	0.110149488592	1.41920146646	0	0	0	0	0.172862647089	0.0828405090089
Bacteria	Actinobacteria	Actinobacteria (class)	5.43304909945	10.3640040445	10.9102683758	20.9286152024	0.967365032818	2.40926040787	13.5380017659	7.42444067314	5.67775974026	18.3182076957	20.8152196132	7.19880905965	16.1170003926	7.93012336121	11.5782818304	16.7108420508	14.9339991864	17.0943668284	19.1725864036	17.5253406726	6.48901492063	11.4019643507	6.3071297989	11.9802346905	16.577263555	11.1581326885	13.3635626336	9.96341025411	7.92871228188	6.66163688574	15.6504281704	11.959546037	37.2091178599	7.81916667625	33.0945529501	29.0288209153	17.4093581919	9.82847274012	5.74145962733	36.5064878378	4.25899598	7.14783995217	1.96355345323	1.22308024366	10.2109833015	13.4111936903	14.271834179	7.25386734859	4.92117842203	4.76915460493	1.21157049826	56.605583059	3.87907233573	25.6003777658	25.4655127196	11.1774646274	26.1685797262	44.9888856673	21.5296177505	35.831273824	11.4776632302	12.7643417631
Bacteria	Bacteroidetes	Bacteroidetes (class)	0	0.00105325244355	0	0	0	0	0	0	0	0	0	0	0.00245386729486	0	0	0.00156835683255	0.00841668186345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	0.0276436940481	0.307549713515	0.0228567074913	0.141158324554	0.463922839895	0.202515375475	0.119540854445	0.0336826832144	0	0.00167442483507	0.00136278771856	0.0992450288874	0.277287004319	0.0471229741329	0.0395163202403	0.0188202819906	0.151500273542	0.187057929503	0.0404873201075	0.110760555817	0.0583044019823	0	0.313397753983	0	0.00101402395125	0.0893702029229	0.0442380004424	0.151521953848	0	0	0	0.0118982244188	0.0208215592373	0.0770531206514	0.079593461091	0	0.044589359864	0.0471013070613	0.0569358178054	0	0.00122561035396	0	0.306273502237	0.714662573745	0.250418339048	0.0682542090096	0	0.0216103297376	0.188898885795	0.0143729405439	0.0302892624565	0.0129597470257	0.173646429713	0.00899442345746	0.0419617099397	0.238443031449	0	0.00161077284881	0.0077472535986	0	0.0104134124753	0.271532779529
Bacteria	Bacteroidetes	Cytophagia	0.0127586280222	0.333881024604	0.0990457324622	3.92764430857	0.919254516088	0.874328373824	0.487672349385	0.00518195126375	0.379464285714	0.299722045477	0.212594884095	0.10987842484	0.488319591676	0.440936400815	0.0605916910351	0.0156835683255	0.556903783298	0.627423471873	0.0552099819647	0.0637712291065	0.0954072032438	0.0567479083303	0.54322277357	0.00722680421684	0.00101402395125	0.0972558090632	0.0479245004792	0.0594863966957	0.401830561447	1.37805732411	0.0142131258217	0.0183049606443	0	0.0793532138052	0.922467805465	0.0207905610853	0.48212245353	0.537739922283	0.795807453416	0.0317447720329	0.00857927247769	0.00498280930789	0.459410253356	0.414888004221	0.227014755959	0.294251478841	0.00359854618734	1.31462839237	0.260535483568	0.000532331131257	3.15917007421	4.30781991136	0.971402830655	0.24734664508	0.0996590611067	0.178295239732	2.58435900982	0.953577526497	0.192131889245	0.00418883257236	0.0499843798813	2.03419472122
Bacteria	Bacteroidetes	Flavobacteriia	0.567758946988	1.24599764071	0.148568598693	0.206573157884	8.62610110081	1.63656336639	0.10459824764	0.00777292689562	0.00202922077922	0	0.00545115087423	0.0425335838089	0.00245386729486	0.0235614870664	0.0737637977818	0	0.0519028714913	0.528048946825	0.0184033273216	0.0134255219172	0.00795060027032	0.00582029829029	2.7135022199	0.000903350527105	0.00608414370747	0.0486279045316	0.00737300007373	0.0347939301428	0	0.00461918656125	0.00177664072771	0.0109829763866	0.000991502820826	0.22540912907	0.128574052532	0	0.175570604465	0.266907406681	0.16433747412	0.0257926272767	0.00245122070791	0	9.51489680284	3.71240826898	0.21414278526	0.00455028060064	0.00719709237468	0.106250787877	0.00639612480119	0.00159699339377	0.0878388611237	2.92890282782	0.0762881804179	0.0337290879655	0.29897718332	0.11098699662	0.00691467293597	0.00644309139525	0.0790219867057	0	0.00416536499011	0.299146282532
