Kingdom	Phylum	Class	Order	Family	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Acidobacteria	Acidobacteria (class)	Acidobacteria (order)	Acidobacteria (family)	0.0722988921258	0.00737276710482	0.0457134149826	0	0	0	0.0271683760103	0.142503659753	0	0	0.00272557543711	0	0	0	0.105376853974	0	0	0	0.00184033273216	0	0	0.00291014914514	0	0.051490980045	0.0344768143424	0.0367994953212	0	0.127951872138	0	0.16013180079	0.00177664072771	0.00183049606443	0.016855547954	0.0563522822674	0	0	0	0	0	0.0119042895123	0.0220609863712	0.0597937116947	0	0	0.016382508162	0	0.111554931808	0.00180086081147	0	1.28824133764	0.0212024837195	0	0.0108983114883	0	0	0.00286418055794	0	0	0	0	0.00208268249505	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	3.07695579135	4.46157735086	4.76562351193	1.70216282096	1.27550143759	3.36803246224	3.55905725735	14.6649220764	0.493100649351	1.18716720806	7.90008040448	1.79349945061	3.15567334119	0.518352715461	2.66735161622	0.381110710309	6.47663669393	7.39853081585	4.52537818838	2.78243941733	5.35075398193	2.49909057839	0.937581613998	11.2403906088	3.29963393735	7.3388707812	4.3095185431	8.30901499506	2.63422256948	14.3595112901	11.6654230182	8.87973640857	10.5674370644	7.43965130588	1.33472111676	4.06455469217	3.48633057437	1.11865604271	1.43245341615	5.94420856315	0.479213648397	2.80781304499	1.03112079087	1.40534318193	6.18907754777	2.60427726376	3.0983482673	5.42779448576	3.42704366848	18.3707473397	1.92336816599	0.0155516964309	5.16943241594	0.00449721172873	1.01757146604	8.71068912184	0	0.00322154569763	0.00309890143944	0.0125664977171	2.08476517755	2.93623581932
Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	0.119080528207	0.304389956185	0.0952362812137	0.128763935081	0.00286372123392	0.0381117496282	0.081505128031	0.040160122294	0	0	0.00545115087423	0.0354446531741	0.117785630153	0.0168296336189	0.0645433230591	0.00470507049764	0.148694712921	0.0954774848503	0.191394604144	0.0637712291065	0.780483926536	0.169516187705	0.0522329589971	0.107498712725	0.412707748157	0.102512879823	0.37602300376	0.530888030888	0.00372065334673	0.00538905098812	0	0.1363719568	0.0664306889953	1.00974089451	0	0.0675693235271	0.0418025248725	0.035325980296	0.0232919254658	0.00396809650411	0	0.0124570232697	0.0221197529394	0.0767422897981	0.205951531179	0.0697709692098	0.0395840080607	0.00900430405734	0.0993531385784	0.103804570595	0.0181735574739	0	0.19544305269	0	0.00524521374246	0.283553875236	0	0	0	0.00418883257236	0	0.0161078767517
Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	0.0574138260999	0.00210650488709	0.0457134149826	0	0	0	0.00679209400258	0.0233187806869	0.00405844155844	0.0468838953819	0.0095395140299	0.00354446531741	0	0	0.0461023736136	0	0.00140278031058	0.00194852009898	0.00736133092863	0.00167819023965	0.0172263005857	0.0232811931611	0.00261164794986	0.186090208584	0.0811219160997	0.0959415413731	0.0516110005161	0.121217563078	0.0297652267738	0.0400329501975	0.493906122304	0.0869485630606	0.00297450846248	0.0126505123458	0.00408171595339	0.0389823020349	0	0	0	0	0	0.00249140465394	0	0	0.00702107492657	0.0667374488093	0.12235057037	0.0432206594752	0.0230260492843	0.0196962518565	0	0	0.0079920950914	0	0	0.00429627083691	0	0	0	0	0	0
Bacteria	Acidobacteria	Unknown	Unknown	Unknown	0.276436940481	0.902637344119	0.434277442334	0.792552349081	0.021191537131	0.607546126426	0.281192691707	0.599810858779	0.0507305194805	0.457117979974	0.207143733221	0.255201502853	0.549666274048	0.366886012891	0.407018098475	0.169382537915	0.760306928332	1.08337717504	0.863116051382	0.328925286971	0.793734926987	0.391415060022	0.214155131888	0.448965211971	1.30707687316	0.444222479235	0.630391506304	0.691389063482	0.256725080924	0.107011155336	0.676900117258	0.761486362804	0.203258078269	1.33290398261	0.0326537276271	0.122144546376	0.094752389711	0.0471013070613	0.0375258799172	0.0833300265862	0.0147073242475	0.0822163535801	0.209286893196	0.0119909827809	0.528920977802	0.229030790232	0.33826334161	0.176484359524	0.292516107574	0.227837724178	0.448281084356	0	0.869685256764	0	0.110149488592	1.41920146646	0	0	0	0	0.172862647089	0.0828405090089
Bacteria	Actinobacteria	Actinobacteria (class)	Acidimicrobiales	Acidimicrobiaceae	0	0.00105325244355	0.00190472562427	0	0.00458195397427	0	0.00135841880052	0	0	0	0	0	0.00245386729486	0.0555377909423	0.00263442134935	0.00313671366509	0.0196389243481	0	0	0	0.0145761004956	0.0392870134594	0	0.00903350527105	0.00912621556121	0.00262853538009	0	0.00224476968663	0.0446478401607	0	0	0.00274574409665	0	0	0.00204085797669	0	0.0250815149235	0	0.00517598343685	0.00595214475616	0	0	0.00170151945687	0.0239819655619	0.00468071661771	0.00910056120127	0.0359854618734	0.0126060256803	0.165020019871	0.0117112848877	0.0212024837195	0	0.00217966229765	0	0	0.00429627083691	0	0	0	0	0	0.00460225050049
Bacteria	Actinobacteria	Actinobacteria (class)	Acidimicrobiales	Iamiaceae	0.0148850660259	0.0495028648466	0.0361897868612	0.00275430877178	0.00286372123392	0.0104620489176	0.0353188888134	0.0181368294231	0.0142045454545	0.0385117712066	0.00817672631134	0.0106333959522	0.0122693364743	0	0.0395163202403	0	0.0308611668327	0.00194852009898	0.0736133092863	0.028529234074	0.0159012005406	0.00582029829029	0.00261164794986	0.0252938147589	0.0162243832199	0.0367994953212	0.0147460001475	0.0303043907695	0	0.000769864426874	0	0.0146439685155	0.00198300564165	0.0161006520764	0.00612257393008	0.0363834818992	0.0529498648385	0.0392510892177	0.00517598343685	0.111106702115	0	0.0124570232697	0.00510455837062	0.00239819655619	0.0924441531999	0	0.0755694699341	0.0054025824344	0.00895457472166	0.0037263179188	0	0.165884761929	0.0276090557703	0	0	0.0186171736266	0	0	0	0	0	0.0575281312562
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinospicaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0684654754422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00461918656125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Cryptosporangiaceae	0	0.0495028648466	0.0342850612369	0.0103286578942	0.00171823274035	0	0.0964477348367	0.0142503659753	0.842126623377	0.313117444158	0.0599626596165	0.0850671676178	0.127601099333	0.0235614870664	0.0605916910351	0.0737127711297	0.0547084321124	0.00779408039594	0.0257646582502	0.0218164731154	0.00132510004505	0.00800291014915	0.00261164794986	0.0135502579066	0.00304207185374	0.0118284092104	0.0479245004792	0	0.0855750269747	0.102391968774	0.00532992218314	0.000915248032217	0	0.00460018630755	0.432661891059	0.0181917409496	1.08407881169	0.702594496997	0.355848861284	0.0972183643506	0.0441219727424	0	0	0	0.136910961068	0.307902320643	0.0683723775595	0.967062255758	0.126643271064	0.000532331131257	0	0.0233275446463	0.00653898689296	0.107933081489	0.0104904274849	0.00716045139486	0.632692573641	0.241615927322	0.240164861557	0	0.131208997188	0.00690337575074
