#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
4466	Bacteria 	 Actinobacteria 	 Actinobacteria (class) 	 Actinomycetales 	 Nocardioidaceae 	 Nocardioides 	 Nocardioides sp	0	6	0	0	13	2	1	0	0	0	1	0	0	0	0	4	5	0	2	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	1	6	0	0	0	0	0	0	0	4	0	0	0	3	0	6	0	0	1	1
4467	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
4468	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
4469	Bacteria 	 Actinobacteria 	 Actinobacteria (class) 	 Solirubrobacterales 	 Solirubrobacteraceae 	 Solirubrobacter 	 Solirubrobacter sp	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	9	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	4	0
4470	Bacteria 	 Planctomycetes 	 Planctomycetia 	 Planctomycetales 	 Planctomycetaceae 	 Planctomyces 	 Planctomyces sp	0	0	0	0	32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4471	Bacteria 	 Acidobacteria 	 Acidobacteriia 	 Acidobacteriales 	 Acidobacteriaceae 	 Acidobacterium 	 Acidobacterium sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4472	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhodobacterales 	 Rhodobacteraceae 	 Oceanicola 	 Oceanicola sp	0	0	0	0	22	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4473	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	6	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	16	15	0	54	16	17	2	24	0	5	4	6	20	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	22	0	0	0	4	0	0	0	0	0	0	0	0	0
4474	Bacteria 	 Acidobacteria 	 Holophagae 	 Holophagales 	 Holophagaceae 	 Holophaga 	 Holophaga sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	38	0	0	0	0	0	0	0	0	0	0	0	0	0
4475	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	22	0	1	0	6	7	6	4	0	0	0	3	9	0	0	0	0	0	0	0	0	0	13	2	20	381	4	0	0	0	0	0	0	0	0	0	0	0	0
