Sample,Kingdom,Phylum,Class,Order,Family,Genus,Species,totals
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micromonosporaceae,Asanoa,Asanoa ishikariensis,0.33121909152725
totals,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Laribacter,Laribacter sp,0.32985836539017
totals,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Desemzia,Desemzia incerta,0.329517532999
totals,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Hyalangium,Hyalangium minutum,0.3261904735579
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Promicromonosporaceae,Promicromonospora,Promicromonospora sp,0.32604578184836
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter panaciterrae,0.32000882726932
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium kubicae,0.31980237537594
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium adhaesivum,0.31796457404294
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Intrasporangiaceae,Terrabacter,Terrabacter lapilli,0.31723521197088
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales (family),Rubrivivax,Rubrivivax gelatinosus,0.31714393280131
totals,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria (order),Betaproteobacteria (family),Aquamonas,Aquamonas sp,0.31585345578976
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Pedomicrobium ferrugineum,0.31519675884933
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter koreensis,0.31181204232969
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus amylolyticus,0.31134455120453
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga taeniospiralis,0.31083874292792
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus aminovorans,0.3096501538128
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia insulae,0.30895437396338
totals,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiales (family),Verrucomicrobiae,Verrucomicrobiae sp,0.30764000721926
totals,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium sp,0.30749580301044
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,0.30744987631313
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Arenimonas oryziterrae,0.30641668407933
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus phyllosphaerae,0.30538175535357
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Fulvimarina,Fulvimarina sp,0.30472056061319
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp,0.30417287168709
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,Curvibacter sp,0.29741418037664
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Roseomonas mucosa,0.29659768111531
totals,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,Chitinophaga arvensicola,0.2965143281507
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus brevis,0.29623424026147
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Maricaulis,Maricaulis sp,0.29596062553047
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium zatmanii,0.29544880243523
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sacchari,0.294851084519
totals,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria (order),Spartobacteria (family),Chthoniobacter,Chthoniobacter flavus,0.29401128518491
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis iriomotensis,0.29312111019014
totals,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Stigmatella,Stigmatella aurantiaca,0.292242906781
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales (family),Thiobacter,Thiobacter subterraneus,0.29151603255763
totals,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,Anaerolinea sp,0.2860300654682
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Xylella sp,0.2818094819308
totals,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Melittangium,Melittangium lichenicola,0.28154073485454
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,Curvibacter delicatus,0.28088404575556
totals,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,Geothrix sp,0.2778965607066
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium gallicum,0.27690656488759
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micromonosporaceae,Actinoplanes,Actinoplanes globisporus,0.2759907662173
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter sp,0.27395154679855
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micromonosporaceae,Actinocatenispora,Actinocatenispora sp,0.27288634483831
totals,Bacteria,Cyanobacteria,Cyanobacteria (class),Oscillatoriales,Oscillatoriales (family),Leptolyngbya,Leptolyngbya sp,0.2716981675064
totals,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter sp,0.27125311876543
totals,Bacteria,Cyanobacteria,Cyanobacteria (class),Nostocales,Nostocaceae,Nostoc,Nostoc muscorum,0.27014295348315
totals,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Isosphaera,Isosphaera sp,0.26703792893921
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Roseomonas rosea,0.26585510629158
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudomonas (Xanthomonadaceae),Pseudomonas boreopolis,0.26581178282335
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas lenta,0.26358300804293
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micromonosporaceae,Virgisporangium,Virgisporangium sp,0.26331352726489
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dyella,Dyella terrae,0.26314826670795
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Jiangellaceae,Jiangella,Jiangella ginsengisoli,0.2609642121314
totals,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,Chitinophaga ginsengisoli,0.26033328827059
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pannonibacter,Pannonibacter sp,0.25913572010643
totals,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma rigui,0.25706598547227
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,Perlucidibaca sp,0.256697808688
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Caenimonas,Caenimonas koreensis,0.25541700373997
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus psychrotoleratus,0.254011041704
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Actinomycetospora,Actinomycetospora sp,0.25358711566034
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,Inquilinus limosus,0.25281296863126
totals,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Pelobacteraceae,Malonomonas,Malonomonas sp,0.25243334307896
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Liberibacter,Liberibacter americanus,0.25179721799537
totals,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,0.25124953387343
totals,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula,Haloferula sp,0.25071193475882
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Leifsonia,Leifsonia kafniensis,0.2500609895762
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium vulgare,0.24850900411889
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Subtercola,Subtercola sp,0.24810190009048
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis excentricus,0.24704186453694
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sanxanigenens,0.24546866143765
totals,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Sporocytophaga,Sporocytophaga sp,0.24438673794485
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Aspromonas,Aspromonas sp,0.2433321771162
totals,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter sp,0.24131501578082
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter junii,0.24010210554544
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,Oceanicola sp,0.23798335297688
totals,Bacteria,Cyanobacteria,Cyanobacteria (class),Nostocales,Nostocaceae,Cylindrospermum,Cylindrospermum stagnale,0.2367174286706
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Catenulisporaceae,Catenulispora,Catenulispora subtropica,0.23590085311252
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Kineosporiaceae,Kineococcus,Kineococcus radiotolerans,0.23350015251398
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardioidaceae,Kribbella,Kribbella aluminosa,0.23183323236904
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter,Granulibacter bethesdensis,0.23171879889861
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas oligophenolica,0.22965162480535
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas gessardii,0.2284458737084
totals,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium johnsoniae,0.22741410735862
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Afipia felis,0.22724744348198
totals,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Bdellovibrio bacteriovorus,0.22613068768114
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium vaccae,0.22539524194323
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,Filomicrobium fusiforme,0.2251280733746
totals,Bacteria,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacterales (family),Gloeobacter,Gloeobacter violaceus,0.224140542178
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora halophila,0.222706670222
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Kocuria,Kocuria polaris,0.222008126335
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus wynnii,0.21955483991022
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Kaistia granuli,0.21869539372548
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseoruber,0.21766190607748
totals,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flexithrix,Flexithrix sp,0.21612518369831
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Roseomonas lacus,0.21514372263761
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia riboflavina,0.21450449341295
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp,0.21424137067887
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales (family),Leptothrix,Leptothrix ginsengisoli,0.21407077335206
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Okibacterium,Okibacterium sp,0.21265384958565
totals,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,Hymenobacter daecheongensis,0.21244265658142
totals,Bacteria,Cyanobacteria,Cyanobacteria (class),Chroococcales,Chroococcales (family),Aphanothece,Aphanothece sacrum,0.212024837195
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas mexicana,0.20994123491762
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Caryophanon,Caryophanon sp,0.20781356915449
totals,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium phytofermentans,0.2031420475171
totals,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella sp,0.20288664075754
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Microbulbifer,Microbulbifer sp,0.20244021173347
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Pleomorphomonas,Pleomorphomonas oryzae,0.20227907529553
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella,Loktanella sp,0.20155242047718
totals,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus hohokamensis,0.20092151123581
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Thermomonosporaceae,Thermomonospora,Thermomonospora sp,0.19900020000122
totals,Bacteria,Cyanobacteria,Cyanobacteria (class),Nostocales,Nostocaceae,Nostoc,Nostoc sp,0.19860963885298
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Rhizobacter,Rhizobacter dauci,0.19795777608673
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Actinokineospora,Actinokineospora sp,0.19751033031
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Cellvibrio,Cellvibrio gandavensis,0.19621416392564
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,Herminiimonas glaciei,0.19595860207601
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,Ochrobactrum sp,0.19591761563502
totals,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter ginsengisoli,0.19529356084113
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter pocheonensis,0.19485621901193
totals,Bacteria,Chloroflexi,Chloroflexi (class),Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon aurantiacus,0.19464340697998
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Kocuria,Kocuria marina,0.19345787545372
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylobacter,Methylobacter sp,0.19341948393219
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella sp,0.19295536154364
totals,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Zoogloea,Zoogloea ramigera,0.1922671443586
totals,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiomollis,0.19119169354365
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,0.18836359697821
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nakamurellaceae,Nakamurella,Nakamurella multipartita,0.18833591977258
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,Pigmentiphaga sp,0.18797846216495
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium esteraromaticum,0.18779342723
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Thermomonosporaceae,Actinocorallia,Actinocorallia sp,0.18770283853119
totals,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium intestinale,0.18670162577887
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Prosthecomicrobium,Prosthecomicrobium pneumaticum,0.18593018442434
totals,Bacteria,Cyanobacteria,Cyanobacteria (class),Nostocales,Nostocaceae,Anabaena,Anabaena augstumalis,0.18235124791537
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus sp,0.18233318409673
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces caeruleus,0.18226293827
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Pseudonocardiaceae,Lentzea,Lentzea sp,0.18132870723803
totals,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter aggregans,0.18123894959038
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Phaeospirillum,Phaeospirillum sp,0.18051982253198
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus pomorum,0.17970551570465
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum rugosum,0.17895408698913
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,Methylocella silvestris,0.17770950369721
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia ginsengisoli,0.1766843241361
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,Pelagibaca sp,0.17652638188343
totals,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Gelria,Gelria sp,0.175535896369
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum autotrophicum,0.17391365427661
totals,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Georgfuchsia,Georgfuchsia toluolica,0.17260361584004
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Aspromonas,Aspromonas composti,0.17251900374317
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Intrasporangiaceae,Terrabacter,Terrabacter sp,0.17207121140452
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Caulobacter (Sphingomonadaceae),Caulobacter leidyia,0.17162051590271
totals,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter composti,0.16903969384664
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dyella,Dyella japonica,0.16867914104929
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia cf timonae,0.16798552741084
totals,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium paraputrificum,0.16782834166436
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus glycanilyticus,0.16702946544722
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales (family),Leptothrix,Leptothrix cholodnii,0.1643177360196
totals,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria (order),Betaproteobacteria (family),Aquamonas,Aquamonas fontana,0.16428751986474
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Frondihabitans,Frondihabitans sp,0.16391590894755
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Stella,Stella vacuolata,0.1612712558957
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,Rhodoplanes serenus,0.16057965479108
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium neglectum,0.15913255921653
totals,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma sp,0.15836068523741
totals,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium soli,0.15745793228981
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia sp,0.15719578376837
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax fermentans,0.15591777094441
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Pantoea agglomerans,0.15538935872988
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylothermus,Methylothermus sp,0.1552997279417
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas phyllosphaerae,0.15424242861548
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Catenulisporaceae,Catenulispora,Catenulispora sp,0.15362157618133
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,Rickettsiella sp,0.15145043954523
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Pelomonas sp,0.15124294514611
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardioidaceae,Nocardioides,Nocardioides plantarum,0.14983840138858
totals,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,Chondromyces apiculatus,0.14917843293843
totals,Bacteria,Cyanobacteria,Cyanobacteria (class),Nostocales,Scytonemataceae,Scytonema,Scytonema sp,0.1489189114488
totals,Bacteria,Cyanobacteria,Cyanobacteria (class),Stigonematales,Stigonematales (family),Stigonema,Stigonema ocellatum,0.14875565834619
totals,Bacteria,Cyanobacteria,Cyanobacteria (class),Chroococcales,Chroococcales (family),Chroococcus,Chroococcus sp,0.148688186484
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Gordoniaceae,Gordonia,Gordonia namibiensis,0.147073242475
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium tianshanense,0.14685821281774
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Roseomonas gilardii,0.14636382511184
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,Shinella sp,0.14629316133317
totals,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella sp,0.14556630644878
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter,Aminobacter niigataensis,0.1446968728612
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardioidaceae,Aeromicrobium,Aeromicrobium ginsengisoli,0.14408009788736
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia brevitalea,0.14383812963464
totals,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Propionibacteriaceae,Microlunatus,Microlunatus phosphovorus,0.14351371010263
totals,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp,0.14239122148595
totals,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium filum,0.141493596815
totals,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,Truepera sp,0.14122207674198
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tetracoccus,Tetracoccus cechii,0.1411685873315
totals,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus alcaliphilus,0.139965267878
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus massiliensis,0.13967355734195
totals,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Laceyella,Laceyella putida,0.13817435609146
totals,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetales (family),Nostocoida (Planctomycetales),Nostocoida limicola planctomycetales,0.13816507946473
totals,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter westerhofensis,0.1375087254759
