OTUId,S17
OTU_721,0.015176522
OTU_1022,0
OTU_366,0
OTU_2202,0
OTU_1521,0
OTU_2345,0
OTU_416,0
OTU_2409,0
OTU_423,0
OTU_8662,0.092956197
OTU_533,0.005691196
OTU_1333,0.011382391
OTU_490,0.001897065
OTU_200,0.007588261
OTU_284,0.00379413
OTU_389,0
OTU_1454,0.001897065
OTU_1194,0
OTU_202,0.009485326
OTU_1016,0
OTU_210,0
OTU_3310,0.005691196
OTU_1973,0.060706088
OTU_232,0
OTU_375,0.011382391
OTU_597,0.001897065
OTU_447,0
OTU_2282,0.047426631
OTU_2713,0.011382391
OTU_99,0
OTU_7176,0.043632501
OTU_285,0
OTU_304,0
OTU_280,0
OTU_81,0.00379413
OTU_1950,0
OTU_5377,0
OTU_411,0
OTU_261,0
OTU_166,0
OTU_301,0
OTU_3345,0
OTU_3433,0
OTU_7852,0
OTU_481,0
OTU_355,0
OTU_454,0
OTU_100,0
OTU_1578,0
OTU_3437,0
OTU_4339,0
OTU_395,0.237133155
OTU_7402,0.001897065
OTU_1301,0.030353044
OTU_1033,0.017073587
OTU_540,0
OTU_655,0
OTU_93,0
OTU_489,0
OTU_1098,0
OTU_678,0
OTU_3033,0
OTU_208,0
OTU_2552,0
OTU_300,0
OTU_351,0
OTU_145,0
OTU_226,0
OTU_1702,0.001897065
OTU_6398,0
OTU_628,0
OTU_1294,0.005691196
OTU_272,0
OTU_1650,0.00379413
OTU_1067,0.007588261
OTU_2230,0.00379413
OTU_5472,0.020867718
OTU_580,0.001897065
OTU_293,0
OTU_212,0
OTU_72,0
OTU_1797,0.011382391
OTU_741,0
OTU_2600,0.001897065
OTU_132,0
OTU_1298,0.045529566
OTU_430,0.001897065
OTU_1149,0
OTU_1422,0
OTU_1923,0.001897065
OTU_1681,0
OTU_1927,0
OTU_354,0
OTU_873,0.265589134
OTU_150,0
OTU_289,0
OTU_1324,0.005691196
OTU_1739,0.001897065
OTU_382,0.022764783
OTU_7597,0
OTU_1228,0
OTU_3508,0.157456415
OTU_1532,0
OTU_552,0
OTU_703,0
OTU_1157,0
OTU_1147,0.056911957
OTU_5930,0
OTU_3982,0
OTU_178,0
OTU_270,0
OTU_432,0
OTU_199,0
OTU_335,0.00379413
OTU_853,0
OTU_5021,0
OTU_4599,0.27886859
OTU_2431,0
OTU_712,0
OTU_603,0
OTU_578,0
OTU_151,0
OTU_414,0.001897065
OTU_644,0.015176522
OTU_579,0.011382391
OTU_2056,0
OTU_167,0
OTU_3657,0
OTU_528,0
OTU_476,0
OTU_3893,0
OTU_1281,0
OTU_177,0
OTU_4316,0.005691196
OTU_443,0
OTU_1570,0.005691196
OTU_472,0.047426631
OTU_154,0
OTU_5782,0.013279457
OTU_1408,0
OTU_522,0
OTU_1491,0.013279457
OTU_356,0.001897065
OTU_181,0.020867718
OTU_452,0.005691196
OTU_1206,0
OTU_6407,0.017073587
OTU_426,0
OTU_456,0.005691196
OTU_505,0
OTU_2892,0.030353044
OTU_523,0
OTU_605,0
OTU_278,0.001897065
OTU_4591,0
OTU_469,0.001897065
OTU_2421,0.041735435
OTU_1845,0
OTU_412,0
OTU_326,0.001897065
OTU_407,0
OTU_4101,0
OTU_240,0
OTU_174,0
OTU_574,0.001897065
OTU_510,0.00379413
OTU_296,0
OTU_201,0.056911957
OTU_230,0
OTU_670,0
OTU_287,0
OTU_994,0
OTU_502,0
OTU_980,0
OTU_649,0.005691196
OTU_1553,0.009485326
OTU_196,0
OTU_419,0
OTU_1123,0.430633809
OTU_103,0
OTU_256,0
OTU_146,0
OTU_6139,0
OTU_581,0
OTU_453,0
OTU_2746,0.066397283
OTU_1939,0
OTU_1867,0
OTU_850,0
OTU_1108,0.005691196
OTU_401,0
OTU_175,0
OTU_589,0
OTU_959,0
OTU_5869,0
OTU_1850,0
OTU_1916,0
OTU_565,0
OTU_424,0
OTU_1024,0
OTU_242,0
OTU_1402,0.013279457
OTU_3213,0.007588261
OTU_1190,0
OTU_803,0
OTU_316,0
OTU_193,0
OTU_933,0
OTU_1817,0.001897065
OTU_162,0
OTU_1133,0.009485326
OTU_1982,0
OTU_1451,0
OTU_2405,0
OTU_601,0.00379413
OTU_8620,0
OTU_1083,0
OTU_2255,0
OTU_681,0
OTU_478,0
OTU_440,0.081573805
OTU_5811,0
OTU_3816,0
OTU_497,0.047426631
OTU_267,0
OTU_1151,0
OTU_2570,0
OTU_895,0
OTU_1156,0
OTU_686,0.001897065
OTU_5459,0.001897065
OTU_1866,0.022764783
OTU_7776,0
OTU_179,0
OTU_228,0
OTU_876,0
OTU_1667,0.045529566
OTU_3785,0
OTU_1565,0
OTU_512,0.015176522
OTU_5923,0
OTU_7240,0
OTU_6847,0
OTU_116,0
OTU_180,0.001897065
OTU_6344,0
OTU_720,0
OTU_323,0
OTU_359,0
OTU_1099,0.134691632
OTU_646,0
OTU_2708,0.096750327
OTU_1035,0
OTU_940,0
OTU_183,0
OTU_5340,0.00379413
OTU_7085,0.001897065
OTU_266,0
OTU_1439,0
OTU_1318,0.013279457
OTU_2136,0
OTU_778,0
OTU_317,0
OTU_1297,0.017073587
OTU_1313,0
OTU_4008,0
OTU_422,0
OTU_757,0
OTU_488,0
OTU_467,0
OTU_244,0.00379413
OTU_125,0
OTU_663,0
OTU_5823,0
OTU_1114,0
OTU_3817,0
OTU_668,0
OTU_576,0
OTU_952,0
OTU_3472,0.03604424
OTU_404,0
OTU_203,0
OTU_3314,0.001897065
OTU_3060,0.013279457
OTU_2555,0.007588261
OTU_3836,0.007588261
OTU_1598,0.007588261
OTU_1431,0
OTU_367,0
OTU_318,0
OTU_632,0.00379413
OTU_241,0
OTU_3449,0
OTU_307,0
OTU_641,0.011382391
OTU_975,0
OTU_2278,0.022764783
OTU_6356,0.020867718
OTU_950,0
OTU_5778,0.001897065
OTU_2789,0
OTU_2841,0.03604424
OTU_1617,0.00379413
OTU_480,0.001897065
OTU_1517,0.009485326
OTU_1195,0
OTU_775,0
OTU_3026,0
OTU_1946,0.007588261
OTU_2212,0
OTU_1492,0
OTU_584,0
OTU_2679,0.00379413
OTU_470,0
OTU_1057,0
OTU_1477,0
OTU_700,0
OTU_1754,0
OTU_373,0
OTU_6711,0
OTU_1364,0
OTU_2568,0
OTU_1017,0
OTU_629,0
OTU_3545,0
OTU_564,0
OTU_917,0.00379413
OTU_1994,0
OTU_2509,0
OTU_2697,0
OTU_1635,0
OTU_3458,0.001897065
OTU_6348,0
OTU_1009,0.005691196
OTU_4875,0
OTU_6501,0
OTU_5077,0
OTU_3499,0
OTU_619,0.00379413
OTU_786,0
OTU_805,0
OTU_1236,0.015176522
OTU_2095,0.017073587
OTU_8348,0
OTU_2344,0
OTU_436,0
OTU_275,0
OTU_462,0
OTU_3895,0
OTU_186,0
OTU_206,0.001897065
OTU_828,0
OTU_739,0
OTU_625,0
OTU_353,0
OTU_378,0
OTU_685,0.00379413
OTU_168,0
OTU_5277,0
OTU_358,0
OTU_925,0
OTU_1233,0
OTU_394,0
OTU_5007,0
OTU_3666,0.001897065
OTU_503,0
OTU_1025,0
OTU_1558,0
OTU_5842,0.081573805
OTU_733,0
OTU_312,0
OTU_894,0
OTU_238,0
OTU_1136,0
OTU_164,0
OTU_1093,0
OTU_492,0.032250109
OTU_973,0
OTU_8263,0
OTU_590,0
OTU_7069,0
OTU_197,0
OTU_548,0
OTU_155,0
OTU_3753,0
OTU_2052,0
OTU_851,0
OTU_4055,0.005691196
OTU_2412,0.017073587
OTU_1785,0
OTU_247,0
OTU_8547,0
OTU_1126,0
OTU_371,0
OTU_1370,0
OTU_495,0
OTU_4507,0.00379413
OTU_537,0
OTU_2422,0
OTU_3811,0
OTU_259,0
OTU_2872,0
OTU_421,0
OTU_945,0
OTU_897,0
OTU_1367,0
OTU_1317,0
OTU_498,0
OTU_255,0
OTU_413,0
OTU_1397,0
OTU_710,0
OTU_1374,0
OTU_550,0
OTU_288,0
OTU_1002,0
OTU_2802,0
OTU_6099,0.018970652
OTU_403,0
OTU_444,0
OTU_264,0
OTU_4815,0
OTU_1398,0
OTU_1705,0
OTU_347,0
OTU_1026,0.013279457
OTU_5116,0
OTU_1833,0
OTU_396,0.00379413
OTU_3005,0.007588261
OTU_1920,0
OTU_219,0
OTU_4826,0
OTU_768,0
OTU_4994,0
OTU_650,0
OTU_2557,0
OTU_1103,0
OTU_821,0
OTU_2690,0
OTU_5872,0.028455979
OTU_387,0
OTU_810,0
OTU_583,0
OTU_340,0
OTU_3207,0.001897065
OTU_633,0
OTU_276,0
OTU_236,0
OTU_1636,0.011382391
OTU_8600,0.018970652
OTU_2663,0
OTU_350,0.00379413
OTU_719,0
OTU_3098,0.001897065
OTU_4903,0.102441523
OTU_2597,0
OTU_3054,0
OTU_198,0
OTU_766,0
OTU_620,0
OTU_277,0
OTU_1579,0.001897065
OTU_1910,0
OTU_2322,0
OTU_441,0
OTU_909,0
OTU_5431,0
OTU_6053,0.001897065
OTU_273,0
OTU_529,0
OTU_327,0
OTU_763,0
OTU_866,0
OTU_1441,0
OTU_1119,0
OTU_3604,0.001897065
OTU_929,0.001897065
OTU_1708,0
OTU_391,0
OTU_442,0
OTU_819,0
OTU_652,0.350957069
OTU_1210,0.001897065
OTU_639,0
OTU_357,0
OTU_1631,0
OTU_1335,0
OTU_3862,0
OTU_3261,0.013279457
OTU_5746,0
OTU_1086,0
OTU_1066,0
OTU_3012,0
OTU_4059,0
OTU_845,0
OTU_1378,0
OTU_1264,0.001897065
OTU_2429,0.00379413
OTU_892,0
OTU_3232,0
OTU_1793,0
OTU_1347,0
OTU_2101,0.001897065
OTU_3865,0
OTU_338,0
OTU_1199,0.028455979
OTU_4975,0.030353044
OTU_1537,0
OTU_474,0
OTU_281,0
OTU_2386,0
OTU_2207,0.001897065
OTU_2873,0.024661848
OTU_566,0
OTU_1711,0
OTU_6120,0
OTU_1385,0
OTU_5924,0
OTU_191,0
OTU_1070,0
OTU_563,0
OTU_305,0
OTU_624,0
OTU_4669,0
OTU_6736,0
OTU_1209,0
OTU_2622,0
OTU_298,0
OTU_520,0
OTU_1291,0.009485326
OTU_527,0
OTU_1440,0
OTU_7490,0
OTU_194,0
OTU_547,0
OTU_140,0
OTU_761,0
OTU_1363,0
OTU_2368,0
OTU_6172,0
OTU_705,0
OTU_1278,0
OTU_2436,0
OTU_1943,0.001897065
OTU_3088,0
OTU_223,0
OTU_123,0
OTU_2208,0
OTU_788,0
OTU_2144,0
OTU_944,0
OTU_634,0
OTU_679,0
OTU_1999,0
OTU_420,0
OTU_319,0
OTU_2032,0
OTU_6473,0
OTU_1069,0
OTU_332,0
OTU_1648,0.104338588
OTU_729,0.223853698
OTU_3851,0
OTU_343,0.005691196
OTU_265,0
OTU_926,0
OTU_2639,0
OTU_379,0
OTU_372,0.022764783
OTU_517,0
OTU_2374,0
OTU_701,0
OTU_5249,0
OTU_217,0
OTU_4656,0
OTU_377,0
OTU_727,0
OTU_1575,0
OTU_631,0
OTU_1971,0
OTU_1197,0
OTU_1173,0
OTU_656,0
OTU_3099,0
OTU_623,0
OTU_558,0
OTU_5710,0
OTU_2149,0
OTU_5337,0
OTU_1684,0
OTU_1138,0.017073587
OTU_292,0
OTU_740,0
OTU_893,0
OTU_683,0
OTU_369,0
OTU_7716,0
OTU_3416,0
OTU_3094,0
OTU_546,0
OTU_1919,0.00379413
OTU_4645,0
OTU_1472,0
OTU_4838,0
OTU_2172,0
OTU_4044,0
OTU_714,0
OTU_602,0
OTU_1054,0
OTU_254,0
OTU_294,0
OTU_722,0.001897065
OTU_508,0
OTU_4872,0.001897065
OTU_157,0
OTU_368,0
OTU_4561,0.013279457
OTU_793,0.00379413
OTU_2986,0.017073587
OTU_1177,0
OTU_531,0
OTU_1062,0
OTU_1526,0
OTU_507,0
OTU_654,0
OTU_5045,0
OTU_309,0.001897065
OTU_3626,0
OTU_2563,0
OTU_1064,0.015176522
OTU_689,0
OTU_2093,0
OTU_6410,0.001897065
OTU_844,0
OTU_525,0
OTU_1658,0
OTU_840,0
OTU_5766,0.00379413
OTU_2304,0
OTU_955,0.001897065
OTU_321,0
OTU_5917,0.001897065
OTU_4962,0.009485326
OTU_2963,0.001897065
OTU_5552,0
OTU_516,0
OTU_1562,0.011382391
OTU_1308,0
OTU_1275,0
OTU_1514,0
OTU_524,0
OTU_1159,0.015176522
OTU_2070,0
OTU_6857,0
OTU_903,0
OTU_2150,0
OTU_1222,0.007588261
OTU_1885,0
OTU_1181,0
OTU_392,0.00379413
OTU_506,0
OTU_1198,0
OTU_2768,0.011382391
OTU_5534,0.005691196
OTU_2852,0
OTU_1061,0
OTU_1912,0
OTU_677,0
OTU_376,0
OTU_3273,0
OTU_771,0
OTU_1295,0
OTU_706,0
OTU_7834,0
OTU_493,0
OTU_825,0
OTU_2297,0
OTU_1668,0.024661848
OTU_1637,0
OTU_397,0
OTU_1504,0
OTU_3591,0
OTU_3274,0
OTU_696,0
OTU_673,0.011382391
OTU_730,0
OTU_784,0
OTU_687,0
OTU_970,0.011382391
OTU_1128,0.00379413
OTU_485,0
OTU_2123,0.001897065
OTU_1673,0
OTU_707,0
OTU_1707,0
OTU_1338,0
OTU_2182,0.009485326
OTU_2494,0
OTU_1092,0
OTU_3501,0.005691196
OTU_2027,0
OTU_6072,0.005691196
OTU_1985,0
OTU_6226,0.001897065
OTU_1186,0
OTU_618,0
OTU_1774,0
OTU_2068,0
OTU_3244,0
OTU_1452,0.007588261
OTU_6022,0
OTU_6318,0
OTU_731,0
OTU_252,0
OTU_708,0
OTU_753,0
OTU_239,0
OTU_271,0
OTU_907,0
OTU_2020,0
OTU_370,0
OTU_526,0
OTU_1254,0
OTU_2626,0
OTU_3719,0.030353044
OTU_268,0
OTU_2031,0
OTU_2772,0
OTU_4457,0.001897065
OTU_496,0
OTU_1515,0.011382391
OTU_427,0.001897065
OTU_8432,0
OTU_1068,0
OTU_1787,0.00379413
OTU_908,0.001897065
OTU_2120,0
OTU_1685,0
OTU_1876,0
OTU_1253,0
OTU_2886,0
OTU_486,0
OTU_4960,0
OTU_651,0
OTU_1563,0
OTU_4735,0
OTU_848,0
OTU_1234,0
OTU_5816,0
OTU_1781,0
OTU_684,0
OTU_5559,0
OTU_1938,0.00379413
OTU_2250,0
OTU_315,0
OTU_4554,0
OTU_1505,0
OTU_2686,0.001897065
OTU_185,0
OTU_1188,0.009485326
OTU_1240,0.030353044
OTU_274,0
OTU_1612,0
OTU_408,0
OTU_658,0
OTU_1101,0
OTU_5352,0
OTU_3177,0
OTU_1419,0
OTU_2267,0.024661848
OTU_724,0
OTU_7920,0
OTU_1183,0.009485326
OTU_365,0
OTU_2496,0
OTU_1018,0
OTU_932,0
OTU_393,0
OTU_1814,0
OTU_465,0
OTU_982,0.085367936
OTU_1677,0
OTU_439,0
OTU_751,0.011382391
OTU_638,0
OTU_554,0
OTU_1342,0
OTU_3872,0.007588261
OTU_1487,0
OTU_749,0
OTU_2017,0
OTU_4274,0
OTU_2338,0
OTU_1010,0
OTU_314,0
OTU_3985,0
OTU_352,0
OTU_7456,0
OTU_374,0
OTU_4240,0
OTU_4985,0
OTU_674,0
OTU_417,0
OTU_1924,0.001897065
OTU_846,0
OTU_1045,0
OTU_1816,0
OTU_596,0
OTU_5200,0
OTU_1583,0
OTU_600,0
OTU_3557,0.013279457
OTU_3145,0
OTU_587,0
OTU_544,0
OTU_915,0
OTU_2803,0
OTU_1118,0
OTU_2799,0
OTU_695,0
OTU_445,0
OTU_912,0.007588261
OTU_2764,0
OTU_1078,0
OTU_1854,0
OTU_918,0
OTU_1007,0
OTU_661,0
OTU_938,0.034147174
OTU_1075,0.028455979
OTU_3740,0
OTU_7803,0
OTU_834,0
OTU_931,0
OTU_1615,0
OTU_4247,0
OTU_913,0
OTU_4453,0
OTU_5254,0
OTU_2016,0
OTU_536,0
OTU_195,0
OTU_7078,0
OTU_6035,0
OTU_1293,0
OTU_606,0
OTU_3780,0
OTU_3504,0
OTU_671,0
OTU_1448,0
OTU_4963,0
OTU_2504,0
OTU_1988,0
OTU_3840,0
OTU_2364,0
OTU_2254,0
OTU_2569,0
OTU_801,0
OTU_1663,0.034147174
OTU_2220,0
OTU_3686,0
OTU_756,0
OTU_147,0
OTU_1851,0
OTU_410,0
OTU_1998,0
OTU_6143,0.005691196
OTU_5738,0
OTU_2884,0
OTU_2034,0
OTU_2442,0
OTU_1191,0
OTU_386,0
OTU_501,0
OTU_8374,0
OTU_385,0
OTU_3411,0
OTU_2271,0
OTU_460,0
OTU_924,0
OTU_2130,0.041735435
OTU_5646,0
OTU_2169,0
OTU_1467,0
OTU_842,0.007588261
OTU_2270,0.005691196
OTU_3984,0
OTU_3025,0
OTU_6204,0.018970652
OTU_1074,0
OTU_1299,0
OTU_863,0
OTU_1031,0.001897065
OTU_2464,0
OTU_2700,0.024661848
OTU_1349,0
OTU_6372,0
OTU_1782,0
OTU_3784,0.034147174
OTU_1211,0
OTU_1263,0.001897065
OTU_6539,0.001897065
OTU_1951,0
OTU_251,0
OTU_2921,0
OTU_981,0.001897065
OTU_3047,0
OTU_4016,0
OTU_2177,0
OTU_3813,0.001897065
OTU_3110,0
OTU_3338,0
OTU_173,0
OTU_1604,0
OTU_956,0
OTU_8017,0
OTU_7283,0
OTU_5582,0
OTU_1087,0
OTU_1945,0
OTU_837,0
OTU_2145,0
OTU_4151,0
OTU_487,0
OTU_3903,0
OTU_1369,0
OTU_777,0
OTU_1034,0
OTU_902,0.001897065
OTU_1536,0
OTU_568,0
OTU_1794,0
OTU_1522,0.001897065
OTU_1417,0
OTU_500,0
OTU_1596,0.005691196
OTU_6457,0
OTU_626,0
OTU_6129,0.00379413
OTU_3152,0
OTU_5860,0
OTU_772,0
OTU_4279,0
OTU_4432,0.001897065
OTU_575,0.022764783
OTU_773,0
OTU_5217,0
OTU_3664,0
OTU_3128,0.00379413
OTU_643,0
OTU_1630,0
OTU_910,0
OTU_428,0
OTU_8101,0
OTU_1434,0
OTU_2883,0.005691196
OTU_1050,0
OTU_822,0
OTU_322,0
OTU_569,0
OTU_1589,0.001897065
OTU_5807,0
OTU_4199,0
OTU_571,0.005691196
OTU_2791,0
OTU_1376,0
OTU_852,0
OTU_3498,0
OTU_1733,0
OTU_750,0
OTU_582,0
OTU_1249,0
OTU_4278,0
OTU_3922,0
OTU_3418,0.00379413
OTU_2050,0
OTU_1747,0
OTU_4653,0
OTU_885,0
OTU_2777,0
OTU_567,0
OTU_2458,0
OTU_2952,0
OTU_7466,0
OTU_611,0
OTU_1331,0
OTU_3135,0
OTU_737,0
OTU_2113,0
OTU_6224,0.005691196
OTU_4676,0
OTU_880,0
OTU_302,0
OTU_814,0
OTU_2497,0
OTU_3623,0.007588261
OTU_1902,0
OTU_1577,0
OTU_1073,0
OTU_662,0
OTU_7977,0
OTU_2460,0
OTU_3217,0
OTU_1762,0
OTU_725,0
OTU_1757,0
OTU_438,0
OTU_755,0.022764783
OTU_431,0
OTU_1418,0.024661848
OTU_802,0
OTU_2625,0
OTU_3039,0
OTU_2885,0.013279457
OTU_291,0
OTU_1235,0
OTU_2666,0.013279457
OTU_2821,0
OTU_2197,0
OTU_4017,0.00379413
OTU_920,0
OTU_717,0
OTU_4487,0
OTU_1500,0
OTU_3151,0
OTU_1792,0
OTU_4940,0
OTU_1465,0
OTU_1124,0
OTU_250,0
OTU_785,0
OTU_3659,0
OTU_2820,0
OTU_930,0
OTU_570,0
OTU_1170,0
OTU_1404,0.00379413
OTU_361,0
OTU_1003,0
OTU_953,0
OTU_2994,0
OTU_1879,0.015176522
OTU_1352,0
OTU_511,0
OTU_669,0
OTU_3215,0.00379413
OTU_8401,0.051220761
OTU_6536,0
OTU_1110,0
OTU_2435,0
OTU_1387,0
OTU_891,0
OTU_8559,0
OTU_2398,0
OTU_746,0
OTU_1165,0
OTU_7986,0
OTU_904,0
OTU_5467,0
OTU_1935,0
OTU_3417,0
OTU_2078,0
OTU_3705,0
OTU_861,0
OTU_4753,0
OTU_7996,0
OTU_8462,0
OTU_809,0
OTU_2014,0
OTU_562,0
OTU_1533,0
OTU_6983,0.00379413
OTU_3937,0
OTU_964,0
OTU_3319,0
OTU_1095,0.00379413
OTU_1901,0.001897065
OTU_2375,0
OTU_1687,0
